分類,職務名稱,月薪中位數 (元),職缺數,大類名稱
人力資源類人員,人力資源主管,62000,1575,支援服務業
人力資源類人員,人力資源人員,46000,4323,支援服務業
人力資源類人員,人力資源專員,38000,2078,支援服務業
人力資源類人員,人力／外勞仲介,41000,480,支援服務業
人力資源類人員,招募顧問,46000,570,支援服務業
人力資源類人員,教育訓練人員,48000,1567,教育服務業
保全／保全管理人員,保全主管,44000,436,支援服務業
保全／保全管理人員,保全人員,33000,5894,支援服務業
保全／保全管理人員,停車場管理員,32000,768,支援服務業
保全／保全管理人員,其他保全相關人員,33000,229,支援服務業
保全／保全管理人員,大樓管理員,33000,1527,支援服務業
保全／保全管理人員,安全人員,38000,274,支援服務業
保全／保全管理人員,門禁管制人員,32000,1677,支援服務業
倉管／物料管理人員,倉管人員,35000,4333,運輸及倉儲業
倉管／物料管理人員,其他倉儲物料人員,36000,233,運輸及倉儲業
倉管／物料管理人員,物料管理人員,35000,1484,運輸及倉儲業
倉管／物料管理人員,資材人員,37000,449,製造業
健康管理與輔助人員,健康管理師,46000,438,醫療保健及社會工作服務業
健康管理與輔助人員,復健師,45000,455,醫療保健及社會工作服務業
健康管理與輔助人員,心理師,49000,591,醫療保健及社會工作服務業
健康管理與輔助人員,活動企劃人員,41000,842,專業科學及技術服務業
健康管理與輔助人員,照顧服務員,31000,3680,醫療保健及社會工作服務業
健康管理與輔助人員,社工人員,45000,1059,醫療保健及社會工作服務業
健康管理與輔助人員,諮商人員,47000,143,醫療保健及社會工作服務業
健康管理與輔助人員,長照服務員,31000,2097,醫療保健及社會工作服務業
其他類人員,公家機關臨時人員,40000,186,公共行政及國防
其他類人員,加油員,35000,1067,批發及零售業
其他類人員,家事服務人員,36000,3879,支援服務業
其他類人員,家事服務工,35000,600,支援服務業
其他類人員,服務台人員,36000,9,批發及零售業
其他類人員,汽車美容人員,36000,540,其他服務業
其他類人員,派報生／傳單派送,38000,190,支援服務業
其他類人員,清潔工／資源回收人員,36000,5271,支援服務業
其他類人員,生命禮儀師,38000,140,其他服務業
其他類人員,生產人員,36000,998,製造業
其他類人員,翻譯,46000,1344,專業科學及技術服務業
其他類人員,聯絡員／調度專員／協調專員,36000,24,支援服務業
其他類人員,花藝設計師,38000,200,農林漁牧業
其他類人員,花藝／園藝人員,36000,621,農林漁牧業
其他類人員,苦工,30000,71,支援服務業
其他類人員,調茶員,36000,5,餐飲業
客戶服務類人員,其他客服人員,41000,9646,支援服務業
客戶服務類人員,客訴客服,61000,1063,支援服務業
客戶服務類人員,文字客服,41000,1544,支援服務業
客戶服務類人員,電訪人員,32000,697,支援服務業
客戶服務類人員,電話客服,39000,4883,支援服務業
專案／產品管理類人員,其他專案管理,56000,64,專業科學及技術服務業
專案／產品管理類人員,專案主管,39000,1698,專業科學及技術服務業
專案／產品管理類人員,專案管理主管,72000,2427,專業科學及技術服務業
專案／產品管理類人員,專案經理,66000,3016,專業科學及技術服務業
專案／產品管理類人員,技術專案管理人員／系統分析／ERP專案師,68000,5530,資訊及通訊傳播業
專案／產品管理類人員,永續管理師,56000,372,專業科學及技術服務業
專案／產品管理類人員,產品專案經理,68000,3704,專業科學及技術服務業
專案／產品管理類人員,產品經理,70000,2854,專業科學及技術服務業
專案／產品管理類人員,軟體專案管理師,62000,1825,資訊及通訊傳播業
技術／研發／維修人員,半導體設備工程師,45000,381,製造業
技術／研發／維修人員,技術人員,38000,2030,製造業
技術／研發／維修人員,機械修護人員,38000,804,製造業
技術／研發／維修人員,機電技師,40000,573,製造業
技術／研發／維修人員,水電工,37000,961,營建工程業
技術／研發／維修人員,設備維修人員,39000,1735,其他服務業
技術／研發／維修人員,電器技術人員,39000,558,製造業
教育人員,其他教育人員,38000,202,教育服務業
教育人員,學前特殊教育老師,40000,142,教育服務業
教育人員,安親班老師,37000,628,教育服務業
教育人員,幼教老師,38000,1215,教育服務業
教育人員,才藝／補習班老師,38000,1190,教育服務業
教育人員,課後照顧老師,37000,748,教育服務業
旅遊休閒及運動相關服務人員,健身房櫃台接待,31000,307,藝術娛樂及休閒服務業
旅遊休閒及運動相關服務人員,其他旅遊及運動服務人員,34000,184,藝術娛樂及休閒服務業
旅遊休閒及運動相關服務人員,導遊,39000,103,藝術娛樂及休閒服務業
旅遊休閒及運動相關服務人員,救生員,34000,204,藝術娛樂及休閒服務業
旅遊休閒及運動相關服務人員,旅遊專員,37000,1706,藝術娛樂及休閒服務業
旅遊休閒及運動相關服務人員,活動帶領員,35000,235,藝術娛樂及休閒服務業
旅遊休閒及運動相關服務人員,領隊,38000,104,藝術娛樂及休閒服務業
業務銷售類人員,不動產經紀人員,65000,5508,不動產業
業務銷售類人員,內勤業務,40000,3053,批發及零售業
業務銷售類人員,售票人員,52000,199,藝術娛樂及休閒服務業
業務銷售類人員,商品企劃人員,55000,896,批發及零售業
業務銷售類人員,國內業務,50000,37061,批發及零售業
業務銷售類人員,國內業務主管,69000,6898,批發及零售業
業務銷售類人員,國外業務,53000,8795,批發及零售業
業務銷售類人員,國外業務主管,93000,2004,批發及零售業
業務銷售類人員,專案業務主管,68000,9,批發及零售業
業務銷售類人員,業務助理,36000,14701,批發及零售業
業務銷售類人員,汽車銷售人員,73000,1614,批發及零售業
業務銷售類人員,補習班老師,55000,31,教育服務業
業務銷售類人員,通路開發人員,58000,9399,批發及零售業
業務銷售類人員,電話行銷人員,52000,2122,批發及零售業
業務銷售類人員,駐校代表,48000,59,教育服務業
機械操作／組裝人員,包裝員,32000,1862,支援服務業
機械操作／組裝人員,品檢員,34000,1935,製造業
機械操作／組裝人員,操作工,34000,1324,製造業
機械操作／組裝人員,機械操作員,36000,914,製造業
機械操作／組裝人員,測試員,36000,792,製造業
機械操作／組裝人員,產線人員,35000,3796,製造業
機械操作／組裝人員,組裝員,33000,1879,製造業
法務／智財類人員,代書／地政士,65000,959,專業科學及技術服務業
法務／智財類人員,專利工程師,68000,122,專業科學及技術服務業
法務／智財類人員,專利師,70000,277,專業科學及技術服務業
法務／智財類人員,工業設計人員,53000,227,專業科學及技術服務業
法務／智財類人員,律師,76000,500,專業科學及技術服務業
法務／智財類人員,法務,52000,1278,專業科學及技術服務業
法務／智財類人員,法務主管,80000,184,專業科學及技術服務業
法務／智財類人員,法務專員,38000,624,專業科學及技術服務業
法務／智財類人員,法遵人員,57000,85,金融及保險業
法務／智財類人員,襄閱／專利人員,62000,435,專業科學及技術服務業
清潔／環衛相關人員,垃圾處理人員,33000,113,廢棄物處理業
清潔／環衛相關人員,洗衣人員,30000,252,其他服務業
清潔／環衛相關人員,洗車人員,33000,168,其他服務業
清潔／環衛相關人員,清潔人員,32000,4637,支援服務業
清潔／環衛相關人員,環保技術人員,35000,177,專業科學及技術服務業
清潔／環衛相關人員,環境工程人員,37000,354,專業科學及技術服務業
產品企劃類人員,出貨企劃,47000,264,運輸及倉儲業
產品企劃類人員,專案管理主管,45000,1064,專業科學及技術服務業
產品企劃類人員,產品企劃,58000,3356,批發及零售業
產品企劃類人員,產品企劃主管,68000,970,批發及零售業
產品企劃類人員,競品企劃,50000,305,批發及零售業
產品企劃類人員,網站企劃,48000,233,資訊及通訊傳播業
社會福利服務人員,其他社會福利服務人員,38000,99,醫療保健及社會工作服務業
社會福利服務人員,庇護工場作業人員,34000,203,醫療保健及社會工作服務業
社會福利服務人員,庇護性就業輔導員,36000,107,醫療保健及社會工作服務業
社會福利服務人員,社工人員,40000,1691,醫療保健及社會工作服務業
社會福利服務人員,社福行政人員,37000,467,醫療保健及社會工作服務業
經營／幕僚類人員,主持特別活動,66000,2477,藝術娛樂及休閒服務業
經營／幕僚類人員,副總經理,161000,101,公共行政及國防
經營／幕僚類人員,品質管理,76000,146,製造業
經營／幕僚類人員,執行長,116000,60,公共行政及國防
經營／幕僚類人員,經營管理主管,74000,3747,公共行政及國防
經營／幕僚類人員,總務助理,44000,15424,支援服務業
經營／幕僚類人員,總經理,96000,151,公共行政及國防
行政／總務類人員,圖書資料管理人員,38000,52,教育服務業
行政／總務類人員,文件資料管理人員,42000,991,支援服務業
行政／總務類人員,檔案人員,33000,1457,支援服務業
行政／總務類人員,環境清潔人員,38000,5,支援服務業
行政／總務類人員,秘書,42000,3629,支援服務業
行政／總務類人員,總機,42000,3609,支援服務業
行政／總務類人員,行政主管,59000,1241,支援服務業
行政／總務類人員,行政人員,37000,2201,支援服務業
行政／總務類人員,行政助理,34000,17191,支援服務業
行政／總務類人員,資料輸入人員,34000,2772,支援服務業
行政／總務類人員,資產管理／工務主管,32000,21117,不動產業
行政／總務類人員,辦公室事務管理人員,46000,10073,支援服務業
行銷類人員,不動產／房仲銷售人員,56000,3863,不動產業
行銷類人員,公關專員,41000,174,專業科學及技術服務業
行銷類人員,媒體企劃／媒體採買,57000,606,專業科學及技術服務業
行銷類人員,媒體媒體採購主管,68000,17,專業科學及技術服務業
行銷類人員,市場調查／市場分析,50000,1548,專業科學及技術服務業
行銷類人員,廣告企劃,65000,442,專業科學及技術服務業
行銷類人員,廣告文案／企劃,44000,4765,專業科學及技術服務業
行銷類人員,活動企劃,41000,3362,專業科學及技術服務業
行銷類人員,產品行銷企劃,52000,7904,專業科學及技術服務業
行銷類人員,社群行銷,40000,3965,專業科學及技術服務業
行銷類人員,神秘客,50000,48,專業科學及技術服務業
行銷類人員,網路行銷企劃,41000,5693,資訊及通訊傳播業
行銷類人員,總機暨接待人員／主管,67000,1123,支援服務業
行銷類人員,行銷主管,62000,1715,專業科學及技術服務業
行銷類人員,行銷企劃,45000,10578,專業科學及技術服務業
行銷類人員,行銷副總,94000,1395,專業科學及技術服務業
行銷類人員,行銷協理,70000,394,專業科學及技術服務業
行銷類人員,行銷專員,36000,2194,專業科學及技術服務業
行銷類人員,行銷經理,70000,236,專業科學及技術服務業
製程／品管／環安衛人員,品保人員,38000,1391,製造業
製程／品管／環安衛人員,品管人員,37000,1305,製造業
製程／品管／環安衛人員,安全人員,41000,411,支援服務業
製程／品管／環安衛人員,環安人員,40000,538,專業科學及技術服務業
製程／品管／環安衛人員,職業安全衛生管理員,41000,529,專業科學及技術服務業
