分類,職務名稱,月薪中位數 (萬元),職缺數
人力資源類人員,人力資源主管,6.2,1575
人力資源類人員,人力資源人員,4.6,4323
人力資源類人員,人力資源專員,3.8,2078
人力資源類人員,人力／外勞仲介,4.1,480
人力資源類人員,招募顧問,4.6,570
人力資源類人員,教育訓練人員,4.8,1567
保全／保全管理人員,保全主管,4.4,436
保全／保全管理人員,保全人員,3.3,5894
保全／保全管理人員,停車場管理員,3.2,768
保全／保全管理人員,其他保全相關人員,3.3,229
保全／保全管理人員,大樓管理員,3.3,1527
保全／保全管理人員,安全人員,3.8,274
保全／保全管理人員,門禁管制人員,3.2,1677
倉管／物料管理人員,倉管人員,3.5,4333
倉管／物料管理人員,其他倉儲物料人員,3.6,233
倉管／物料管理人員,物料管理人員,3.5,1484
倉管／物料管理人員,資材人員,3.7,449
健康管理與輔助人員,健康管理師,4.6,438
健康管理與輔助人員,復健師,4.5,455
健康管理與輔助人員,心理師,4.9,591
健康管理與輔助人員,活動企劃人員,4.1,842
健康管理與輔助人員,照顧服務員,3.1,3680
健康管理與輔助人員,社工人員,4.5,1059
健康管理與輔助人員,諮商人員,4.7,143
健康管理與輔助人員,長照服務員,3.1,2097
其他類人員,公家機關臨時人員,4.0,186
其他類人員,加油員,3.5,1067
其他類人員,家事服務人員,3.6,3879
其他類人員,家事服務工,3.5,600
其他類人員,服務台人員,3.6,9
其他類人員,汽車美容人員,3.6,540
其他類人員,派報生／傳單派送,3.8,190
其他類人員,清潔工／資源回收人員,3.6,5271
其他類人員,生命禮儀師,3.8,140
其他類人員,生產人員,3.6,998
其他類人員,翻譯,4.6,1344
其他類人員,聯絡員／調度專員／協調專員,3.6,24
其他類人員,花藝設計師,3.8,200
其他類人員,花藝／園藝人員,3.6,621
其他類人員,苦工,3.0,71
其他類人員,調茶員,3.6,5
客戶服務類人員,其他客服人員,4.1,9646
客戶服務類人員,客戶技術支援,,21
客戶服務類人員,客戶支援人員,,24
客戶服務類人員,客訴客服,6.1,1063
客戶服務類人員,文字客服,4.1,1544
客戶服務類人員,線上客服,,48
客戶服務類人員,電訪人員,3.2,697
客戶服務類人員,電話客服,3.9,4883
專案／產品管理類人員,其他專案管理,5.6,64
專案／產品管理類人員,專案主管,3.9,1698
專案／產品管理類人員,專案管理主管,7.2,2427
專案／產品管理類人員,專案經理,6.6,3016
專案／產品管理類人員,技術專案管理人員／系統分析／ERP專案師,6.8,5530
專案／產品管理類人員,永續管理師,5.6,372
專案／產品管理類人員,產品專案經理,6.8,3704
專案／產品管理類人員,產品經理,7.0,2854
專案／產品管理類人員,軟體專案管理師,6.2,1825
技術／研發／維修人員,半導體設備工程師,4.5,381
技術／研發／維修人員,技術人員,3.8,2030
技術／研發／維修人員,機械修護人員,3.8,804
技術／研發／維修人員,機電技師,4.0,573
技術／研發／維修人員,水電工,3.7,961
技術／研發／維修人員,設備維修人員,3.9,1735
技術／研發／維修人員,電器技術人員,3.9,558
教育人員,其他教育人員,3.8,202
教育人員,學前特殊教育老師,4.0,142
教育人員,安親班老師,3.7,628
教育人員,幼教老師,3.8,1215
教育人員,才藝／補習班老師,3.8,1190
