職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
IC佈局工程師,電子科技╱資訊╱軟體╱半導體,45000,49500,54000,58500,63000,光電IC_電子通訊,IC佈局工程師
IC佈局工程師,一般傳統製造,44000,48400,52800,57200,61600,光電IC_電子通訊,IC佈局工程師
IC佈局工程師,法律╱會計╱顧問╱研發╱設計,600000,660000,720000,780000,840000,光電IC_電子通訊,IC佈局工程師
IC封裝／測試工程師,電子科技╱資訊╱軟體╱半導體,40000,44000,48000,52000,56000,光電IC_電子通訊,IC封裝／測試工程師
IC封裝／測試工程師,一般傳統製造,30100,33100,36100,39100,42100,光電IC_電子通訊,IC封裝／測試工程師
IC封裝／測試工程師,批發╱零售,28000,30800,33600,36400,39200,光電IC_電子通訊,IC封裝／測試工程師
IC設計工程師,電子科技╱資訊╱軟體╱半導體,45000,49500,54000,58500,63000,光電IC_電子通訊,IC設計工程師
PCB-Layout佈局工程師,電子科技╱資訊╱軟體╱半導體,42000,46200,50400,54600,58800,光電IC_電子通訊,PCB-Layout佈局工程師
PCB-Layout佈局工程師,一般傳統製造,40000,44000,48000,52000,56000,光電IC_電子通訊,PCB-Layout佈局工程師
PCB-Layout佈局工程師,法律╱會計╱顧問╱研發╱設計,53000,58300,63600,68900,74200,光電IC_電子通訊,PCB-Layout佈局工程師
PCB-Layout佈局工程師,建築營造╱不動產相關,48000,52800,57600,62400,67200,光電IC_電子通訊,PCB-Layout佈局工程師
PCB-Layout佈局工程師,批發╱零售,25000,27500,30000,32500,35000,光電IC_電子通訊,PCB-Layout佈局工程師
RF通訊工程師,法律╱會計╱顧問╱研發╱設計,34500,38000,41400,44900,48300,光電IC_電子通訊,RF通訊工程師
RF通訊工程師,電子科技╱資訊╱軟體╱半導體,42000,46200,50400,54600,58800,光電IC_電子通訊,RF通訊工程師
RF通訊工程師,一般傳統製造,55000,60500,66000,71500,77000,光電IC_電子通訊,RF通訊工程師
RF通訊工程師,批發╱零售,53000,58300,63600,68900,74200,光電IC_電子通訊,RF通訊工程師
SMT工程師,電子科技╱資訊╱軟體╱半導體,36500,40200,43800,47500,51100,光電IC_電子通訊,SMT工程師
SMT工程師,一般傳統製造,36000,39600,43200,46800,50400,光電IC_電子通訊,SMT工程師
SMT工程師,批發╱零售,27500,30300,33000,35800,38500,光電IC_電子通訊,SMT工程師
