郡カ,,肂_窾じ,羱戈兜ヘ,肂_じ
籓カ,2023,70.8,い计,708000
堕カ,2023,59.2,い计,592000
籓いカ,2023,49.5,い计,495000
籓玭カ,2023,51.2,い计,512000
蔼动カ,2023,51.8,い计,518000
﹜孽郡,2023,50,い计,500000
穝λ郡,2023,71.6,い计,716000
璢郡,2023,56.7,い计,567000
裹て郡,2023,44.3,い计,443000
玭щ郡,2023,47.3,い计,473000
冻狶郡,2023,50.5,い计,505000
古竡郡,2023,47.7,い计,477000
狥郡,2023,45.9,い计,459000
籓狥郡,2023,46.7,い计,467000
浆郡,2023,49.6,い计,496000
缄打郡,2023,46.6,い计,466000
膀订カ,2023,52.9,い计,529000
穝λカ,2023,84.5,い计,845000
古竡カ,2023,46.9,い计,469000
籓カ,2022,68.4,い计,684000
堕カ,2022,58.3,い计,583000
籓いカ,2022,48.3,い计,483000
籓玭カ,2022,50.3,い计,503000
蔼动カ,2022,50.6,い计,506000
﹜孽郡,2022,48.8,い计,488000
穝λ郡,2022,72,い计,720000
璢郡,2022,56.1,い计,561000
裹て郡,2022,43.7,い计,437000
玭щ郡,2022,46.8,い计,468000
冻狶郡,2022,49.3,い计,493000
古竡郡,2022,46.2,い计,462000
狥郡,2022,44.4,い计,444000
籓狥郡,2022,45.1,い计,451000
浆郡,2022,47.4,い计,474000
缄打郡,2022,44.9,い计,449000
膀订カ,2022,51.9,い计,519000
穝λカ,2022,82.7,い计,827000
古竡カ,2022,45.3,い计,453000
籓カ,2021,66.1,い计,661000
堕カ,2021,57.5,い计,575000
籓いカ,2021,47.2,い计,472000
籓玭カ,2021,49.4,い计,494000
蔼动カ,2021,50,い计,500000
﹜孽郡,2021,47.6,い计,476000
穝λ郡,2021,71.5,い计,715000
璢郡,2021,55.8,い计,558000
裹て郡,2021,43.1,い计,431000
玭щ郡,2021,45.9,い计,459000
冻狶郡,2021,49.2,い计,492000
古竡郡,2021,45.6,い计,456000
狥郡,2021,43.4,い计,434000
籓狥郡,2021,43.7,い计,437000
浆郡,2021,46.6,い计,466000
缄打郡,2021,43.6,い计,436000
膀订カ,2021,50.8,い计,508000
穝λカ,2021,80.2,い计,802000
古竡カ,2021,44.7,い计,447000
籓カ,2020,65.8,い计,658000
堕カ,2020,56,い计,560000
籓いカ,2020,46.9,い计,469000
籓玭カ,2020,48.6,い计,486000
蔼动カ,2020,49.4,い计,494000
﹜孽郡,2020,47,い计,470000
穝λ郡,2020,68.1,い计,681000
璢郡,2020,53.7,い计,537000
裹て郡,2020,42.2,い计,422000
玭щ郡,2020,45.7,い计,457000
冻狶郡,2020,49.3,い计,493000
古竡郡,2020,45.7,い计,457000
狥郡,2020,42.8,い计,428000
籓狥郡,2020,43.3,い计,433000
浆郡,2020,46.1,い计,461000
缄打郡,2020,43.5,い计,435000
膀订カ,2020,50,い计,500000
穝λカ,2020,75,い计,750000
古竡カ,2020,44.4,い计,444000
籓カ,2019,65,い计,650000
堕カ,2019,56.3,い计,563000
籓いカ,2019,46.5,い计,465000
籓玭カ,2019,48.4,い计,484000
蔼动カ,2019,49.2,い计,492000
﹜孽郡,2019,46.6,い计,466000
穝λ郡,2019,66.6,い计,666000
璢郡,2019,53.4,い计,534000
裹て郡,2019,41.9,い计,419000
玭щ郡,2019,45,い计,450000
冻狶郡,2019,49.5,い计,495000
古竡郡,2019,45.4,い计,454000
狥郡,2019,42.1,い计,421000
籓狥郡,2019,42.6,い计,426000
浆郡,2019,45,い计,450000
缄打郡,2019,43.5,い计,435000
膀订カ,2019,50.4,い计,504000
穝λカ,2019,73.1,い计,731000
古竡カ,2019,43.2,い计,432000
