郡カ,,肂_窾じ,羱戈兜ヘ,肂_じ
籓カ,2023,90.9,キА计,909000
堕カ,2023,74.6,キА计,746000
籓いカ,2023,63.6,キА计,636000
籓玭カ,2023,69,キА计,690000
蔼动カ,2023,65.2,キА计,652000
﹜孽郡,2023,59.2,キА计,592000
穝λ郡,2023,98.5,キА计,985000
璢郡,2023,71.7,キА计,717000
裹て郡,2023,55,キА计,550000
玭щ郡,2023,58.8,キА计,588000
冻狶郡,2023,64.6,キА计,646000
古竡郡,2023,60.8,キА计,608000
狥郡,2023,56.2,キА计,562000
籓狥郡,2023,57.8,キА计,578000
浆郡,2023,60.3,キА计,603000
缄打郡,2023,58.1,キА计,581000
膀订カ,2023,65.8,キА计,658000
穝λカ,2023,122.9,キА计,1229000
古竡カ,2023,60.6,キА计,606000
籓カ,2022,89.6,キА计,896000
堕カ,2022,73.7,キА计,737000
籓いカ,2022,62.8,キА计,628000
籓玭カ,2022,68.3,キА计,683000
蔼动カ,2022,65.2,キА计,652000
﹜孽郡,2022,58.3,キА计,583000
穝λ郡,2022,101.3,キА计,1013000
璢郡,2022,72,キА计,720000
裹て郡,2022,54.3,キА计,543000
玭щ郡,2022,58.2,キА计,582000
冻狶郡,2022,64.3,キА计,643000
古竡郡,2022,60.2,キА计,602000
狥郡,2022,54.8,キА计,548000
籓狥郡,2022,56.8,キА计,568000
浆郡,2022,59,キА计,590000
缄打郡,2022,57,キА计,570000
膀订カ,2022,65.1,キА计,651000
穝λカ,2022,125.6,キА计,1256000
古竡カ,2022,59.6,キА计,596000
籓カ,2021,85.8,キА计,858000
堕カ,2021,71.5,キА计,715000
籓いカ,2021,60.9,キА计,609000
籓玭カ,2021,66.2,キА计,662000
蔼动カ,2021,63.4,キА计,634000
﹜孽郡,2021,57.1,キА计,571000
穝λ郡,2021,95.2,キА计,952000
璢郡,2021,70.3,キА计,703000
裹て郡,2021,53,キА计,530000
玭щ郡,2021,57.6,キА计,576000
冻狶郡,2021,62.7,キА计,627000
古竡郡,2021,59.2,キА计,592000
狥郡,2021,53.9,キА计,539000
籓狥郡,2021,55.5,キА计,555000
浆郡,2021,57.7,キА计,577000
缄打郡,2021,56.5,キА计,565000
膀订カ,2021,63.2,キА计,632000
穝λカ,2021,117.3,キА计,1173000
古竡カ,2021,58.3,キА计,583000
籓カ,2020,83.9,キА计,839000
堕カ,2020,68.8,キА计,688000
籓いカ,2020,58.9,キА计,589000
籓玭カ,2020,62.6,キА计,626000
蔼动カ,2020,61.6,キА计,616000
﹜孽郡,2020,56,キА计,560000
穝λ郡,2020,90.9,キА计,909000
璢郡,2020,65.5,キА计,655000
裹て郡,2020,51.7,キА计,517000
玭щ郡,2020,56.9,キА计,569000
冻狶郡,2020,62.8,キА计,628000
古竡郡,2020,59,キА计,590000
狥郡,2020,53.4,キА计,534000
籓狥郡,2020,55.6,キА计,556000
浆郡,2020,57.4,キА计,574000
缄打郡,2020,56.6,キА计,566000
膀订カ,2020,62.2,キА计,622000
穝λカ,2020,101.8,キА计,1018000
古竡カ,2020,57.6,キА计,576000
籓カ,2019,82.4,キА计,824000
堕カ,2019,68.6,キА计,686000
籓いカ,2019,58.3,キА计,583000
籓玭カ,2019,61.7,キА计,617000
蔼动カ,2019,61.6,キА计,616000
﹜孽郡,2019,55.7,キА计,557000
穝λ郡,2019,87.9,キА计,879000
璢郡,2019,65,キА计,650000
裹て郡,2019,51.7,キА计,517000
玭щ郡,2019,56.4,キА计,564000
冻狶郡,2019,62.8,キА计,628000
古竡郡,2019,58.9,キА计,589000
狥郡,2019,53,キА计,530000
籓狥郡,2019,55,キА计,550000
浆郡,2019,56.8,キА计,568000
缄打郡,2019,56.5,キА计,565000
膀订カ,2019,62.2,キА计,622000
穝λカ,2019,98.2,キА计,982000
古竡カ,2019,56.8,キА计,568000
