郡カ,,兜ヘ,羱戈
穝カ,2020,い计羱,508000
穝カ,2021,い计羱,515000
穝カ,2022,い计羱,522000
穝カ,2023,い计羱,533000
籓カ,2020,い计羱,658000
籓カ,2021,い计羱,661000
籓カ,2022,い计羱,684000
籓カ,2023,い计羱,708000
堕カ,2020,い计羱,560000
堕カ,2021,い计羱,575000
堕カ,2022,い计羱,583000
堕カ,2023,い计羱,592000
籓いカ,2020,い计羱,469000
籓いカ,2021,い计羱,472000
籓いカ,2022,い计羱,483000
籓いカ,2023,い计羱,495000
籓玭カ,2020,い计羱,486000
籓玭カ,2021,い计羱,494000
籓玭カ,2022,い计羱,503000
籓玭カ,2023,い计羱,512000
蔼动カ,2020,い计羱,494000
蔼动カ,2021,い计羱,500000
蔼动カ,2022,い计羱,506000
蔼动カ,2023,い计羱,518000
﹜孽郡,2020,い计羱,470000
﹜孽郡,2021,い计羱,476000
﹜孽郡,2022,い计羱,488000
﹜孽郡,2023,い计羱,500000
穝λ郡,2020,い计羱,681000
穝λ郡,2021,い计羱,715000
穝λ郡,2022,い计羱,720000
穝λ郡,2023,い计羱,716000
璢郡,2020,い计羱,537000
璢郡,2021,い计羱,558000
璢郡,2022,い计羱,561000
璢郡,2023,い计羱,567000
裹て郡,2020,い计羱,422000
裹て郡,2021,い计羱,431000
裹て郡,2022,い计羱,437000
裹て郡,2023,い计羱,443000
玭щ郡,2020,い计羱,457000
玭щ郡,2021,い计羱,459000
玭щ郡,2022,い计羱,468000
玭щ郡,2023,い计羱,473000
冻狶郡,2020,い计羱,493000
冻狶郡,2021,い计羱,492000
冻狶郡,2022,い计羱,493000
冻狶郡,2023,い计羱,505000
古竡郡,2020,い计羱,457000
古竡郡,2021,い计羱,456000
古竡郡,2022,い计羱,462000
古竡郡,2023,い计羱,477000
狥郡,2020,い计羱,428000
狥郡,2021,い计羱,434000
狥郡,2022,い计羱,444000
狥郡,2023,い计羱,459000
籓狥郡,2020,い计羱,433000
籓狥郡,2021,い计羱,437000
籓狥郡,2022,い计羱,451000
籓狥郡,2023,い计羱,467000
浆郡,2020,い计羱,461000
浆郡,2021,い计羱,466000
浆郡,2022,い计羱,474000
浆郡,2023,い计羱,496000
缄打郡,2020,い计羱,435000
缄打郡,2021,い计羱,436000
缄打郡,2022,い计羱,449000
缄打郡,2023,い计羱,466000
膀订カ,2020,い计羱,500000
膀订カ,2021,い计羱,508000
膀订カ,2022,い计羱,519000
膀订カ,2023,い计羱,529000
穝λカ,2020,い计羱,750000
穝λカ,2021,い计羱,802000
穝λカ,2022,い计羱,827000
穝λカ,2023,い计羱,845000
古竡カ,2020,い计羱,444000
古竡カ,2021,い计羱,447000
古竡カ,2022,い计羱,453000
古竡カ,2023,い计羱,469000
