縣市,產業類別,薪資項目,數值
新北市,批發業,行業平均(元),630000
新北市,資訊電子工業,行業平均(元),1039000
新北市,金屬機電工業,行業平均(元),571000
新北市,零售業,行業平均(元),562000
臺北市,批發業,行業平均(元),867000
臺北市,金融及保險業,行業平均(元),1306000
臺北市,出版影音及資通訊業,行業平均(元),1046000
臺北市,專業、科學及技術服務業,行業平均(元),889000
桃園市,資訊電子工業,行業平均(元),1088000
桃園市,金屬機電工業,行業平均(元),726000
桃園市,批發業,行業平均(元),601000
桃園市,運輸及倉儲業,行業平均(元),811000
臺中市,金屬機電工業,行業平均(元),563000
臺中市,批發業,行業平均(元),547000
臺中市,零售業,行業平均(元),562000
臺中市,資訊電子工業,行業平均(元),1118000
臺南市,金屬機電工業,行業平均(元),611000
臺南市,資訊電子工業,行業平均(元),1302000
臺南市,批發業,行業平均(元),528000
臺南市,民生工業,行業平均(元),579000
高雄市,金屬機電工業,行業平均(元),678000
高雄市,批發業,行業平均(元),539000
高雄市,營建工程業,行業平均(元),579000
高雄市,零售業,行業平均(元),564000
宜蘭縣,營建工程業,行業平均(元),532000
宜蘭縣,住宿及餐飲業,行業平均(元),500000
宜蘭縣,民生工業,行業平均(元),548000
宜蘭縣,零售業,行業平均(元),550000
新竹縣,資訊電子工業,行業平均(元),1397000
新竹縣,金屬機電工業,行業平均(元),799000
新竹縣,批發業,行業平均(元),871000
新竹縣,化學工業,行業平均(元),802000
苗栗縣,資訊電子工業,行業平均(元),1055000
苗栗縣,金屬機電工業,行業平均(元),662000
苗栗縣,營建工程業,行業平均(元),521000
苗栗縣,民生工業,行業平均(元),618000
彰化縣,金屬機電工業,行業平均(元),496000
彰化縣,民生工業,行業平均(元),504000
彰化縣,化學工業,行業平均(元),607000
彰化縣,批發業,行業平均(元),452000
南投縣,住宿及餐飲業,行業平均(元),465000
南投縣,金屬機電工業,行業平均(元),544000
南投縣,醫療保健及社會工作服務業,行業平均(元),774000
南投縣,零售業,行業平均(元),501000
雲林縣,化學工業,行業平均(元),996000
雲林縣,民生工業,行業平均(元),568000
雲林縣,營建工程業,行業平均(元),434000
雲林縣,金屬機電工業,行業平均(元),590000
嘉義縣,民生工業,行業平均(元),594000
嘉義縣,金屬機電工業,行業平均(元),520000
嘉義縣,化學工業,行業平均(元),686000
嘉義縣,批發業,行業平均(元),475000
屏東縣,批發業,行業平均(元),458000
屏東縣,醫療保健及社會工作服務業,行業平均(元),760000
屏東縣,零售業,行業平均(元),482000
屏東縣,金屬機電工業,行業平均(元),555000
臺東縣,住宿及餐飲業,行業平均(元),464000
臺東縣,零售業,行業平均(元),509000
臺東縣,醫療保健及社會工作服務業,行業平均(元),834000
臺東縣,營建工程業,行業平均(元),512000
花蓮縣,醫療保健及社會工作服務業,行業平均(元),846000
花蓮縣,住宿及餐飲業,行業平均(元),481000
花蓮縣,零售業,行業平均(元),501000
花蓮縣,營建工程業,行業平均(元),527000
澎湖縣,住宿及餐飲業,行業平均(元),486000
澎湖縣,零售業,行業平均(元),569000
澎湖縣,營建工程業,行業平均(元),474000
