郡カ,,兜ヘ,羱戈
穝カ,2020,┦い计羱,470000
穝カ,2021,┦い计羱,477000
穝カ,2022,┦い计羱,489000
穝カ,2023,┦い计羱,503000
籓カ,2020,┦い计羱,618000
籓カ,2021,┦い计羱,624000
籓カ,2022,┦い计羱,648000
籓カ,2023,┦い计羱,670000
堕カ,2020,┦い计羱,495000
堕カ,2021,┦い计羱,506000
堕カ,2022,┦い计羱,517000
堕カ,2023,┦い计羱,523000
籓いカ,2020,┦い计羱,430000
籓いカ,2021,┦い计羱,435000
籓いカ,2022,┦い计羱,448000
籓いカ,2023,┦い计羱,464000
籓玭カ,2020,┦い计羱,434000
籓玭カ,2021,┦い计羱,440000
籓玭カ,2022,┦い计羱,453000
籓玭カ,2023,┦い计羱,466000
蔼动カ,2020,┦い计羱,440000
蔼动カ,2021,┦い计羱,444000
蔼动カ,2022,┦い计羱,456000
蔼动カ,2023,┦い计羱,472000
﹜孽郡,2020,┦い计羱,433000
﹜孽郡,2021,┦い计羱,442000
﹜孽郡,2022,┦い计羱,460000
﹜孽郡,2023,┦い计羱,471000
穝λ郡,2020,┦い计羱,590000
穝λ郡,2021,┦い计羱,600000
穝λ郡,2022,┦い计羱,608000
穝λ郡,2023,┦い计羱,615000
璢郡,2020,┦い计羱,470000
璢郡,2021,┦い计羱,488000
璢郡,2022,┦い计羱,501000
璢郡,2023,┦い计羱,508000
裹て郡,2020,┦い计羱,387000
裹て郡,2021,┦い计羱,399000
裹て郡,2022,┦い计羱,408000
裹て郡,2023,┦い计羱,419000
玭щ郡,2020,┦い计羱,424000
玭щ郡,2021,┦い计羱,429000
玭щ郡,2022,┦い计羱,444000
玭щ郡,2023,┦い计羱,451000
冻狶郡,2020,┦い计羱,420000
冻狶郡,2021,┦い计羱,423000
冻狶郡,2022,┦い计羱,433000
冻狶郡,2023,┦い计羱,446000
古竡郡,2020,┦い计羱,410000
古竡郡,2021,┦い计羱,416000
古竡郡,2022,┦い计羱,427000
古竡郡,2023,┦い计羱,443000
狥郡,2020,┦い计羱,401000
狥郡,2021,┦い计羱,410000
狥郡,2022,┦い计羱,425000
狥郡,2023,┦い计羱,440000
籓狥郡,2020,┦い计羱,419000
籓狥郡,2021,┦い计羱,424000
籓狥郡,2022,┦い计羱,445000
籓狥郡,2023,┦い计羱,459000
浆郡,2020,┦い计羱,436000
浆郡,2021,┦い计羱,444000
浆郡,2022,┦い计羱,459000
浆郡,2023,┦い计羱,478000
缄打郡,2020,┦い计羱,416000
缄打郡,2021,┦い计羱,416000
缄打郡,2022,┦い计羱,433000
缄打郡,2023,┦い计羱,453000
膀订カ,2020,┦い计羱,462000
膀订カ,2021,┦い计羱,473000
膀订カ,2022,┦い计羱,480000
膀订カ,2023,┦い计羱,491000
穝λカ,2020,┦い计羱,635000
穝λカ,2021,┦い计羱,656000
穝λカ,2022,┦い计羱,666000
穝λカ,2023,┦い计羱,670000
古竡カ,2020,┦い计羱,425000
古竡カ,2021,┦い计羱,430000
古竡カ,2022,┦い计羱,443000
古竡カ,2023,┦い计羱,458000
