縣市,年度,項目,年薪資
新北市,2020,女性平均年薪,568000
新北市,2021,女性平均年薪,580000
新北市,2022,女性平均年薪,599000
新北市,2023,女性平均年薪,612000
臺北市,2020,女性平均年薪,772000
臺北市,2021,女性平均年薪,787000
臺北市,2022,女性平均年薪,827000
臺北市,2023,女性平均年薪,844000
桃園市,2020,女性平均年薪,596000
桃園市,2021,女性平均年薪,614000
桃園市,2022,女性平均年薪,636000
桃園市,2023,女性平均年薪,647000
臺中市,2020,女性平均年薪,525000
臺中市,2021,女性平均年薪,537000
臺中市,2022,女性平均年薪,556000
臺中市,2023,女性平均年薪,570000
臺南市,2020,女性平均年薪,543000
臺南市,2021,女性平均年薪,565000
臺南市,2022,女性平均年薪,584000
臺南市,2023,女性平均年薪,592000
高雄市,2020,女性平均年薪,547000
高雄市,2021,女性平均年薪,558000
高雄市,2022,女性平均年薪,575000
高雄市,2023,女性平均年薪,583000
宜蘭縣,2020,女性平均年薪,513000
宜蘭縣,2021,女性平均年薪,522000
宜蘭縣,2022,女性平均年薪,539000
宜蘭縣,2023,女性平均年薪,549000
新竹縣,2020,女性平均年薪,729000
新竹縣,2021,女性平均年薪,756000
新竹縣,2022,女性平均年薪,789000
新竹縣,2023,女性平均年薪,779000
苗栗縣,2020,女性平均年薪,562000
苗栗縣,2021,女性平均年薪,609000
苗栗縣,2022,女性平均年薪,623000
苗栗縣,2023,女性平均年薪,625000
彰化縣,2020,女性平均年薪,468000
彰化縣,2021,女性平均年薪,478000
彰化縣,2022,女性平均年薪,491000
彰化縣,2023,女性平均年薪,502000
南投縣,2020,女性平均年薪,518000
南投縣,2021,女性平均年薪,522000
南投縣,2022,女性平均年薪,535000
南投縣,2023,女性平均年薪,544000
雲林縣,2020,女性平均年薪,525000
雲林縣,2021,女性平均年薪,524000
雲林縣,2022,女性平均年薪,540000
雲林縣,2023,女性平均年薪,548000
嘉義縣,2020,女性平均年薪,514000
嘉義縣,2021,女性平均年薪,513000
嘉義縣,2022,女性平均年薪,526000
嘉義縣,2023,女性平均年薪,541000
屏東縣,2020,女性平均年薪,489000
屏東縣,2021,女性平均年薪,494000
屏東縣,2022,女性平均年薪,509000
屏東縣,2023,女性平均年薪,526000
臺東縣,2020,女性平均年薪,538000
臺東縣,2021,女性平均年薪,535000
臺東縣,2022,女性平均年薪,551000
臺東縣,2023,女性平均年薪,560000
花蓮縣,2020,女性平均年薪,543000
花蓮縣,2021,女性平均年薪,547000
花蓮縣,2022,女性平均年薪,565000
花蓮縣,2023,女性平均年薪,579000
澎湖縣,2020,女性平均年薪,541000
澎湖縣,2021,女性平均年薪,536000
澎湖縣,2022,女性平均年薪,543000
澎湖縣,2023,女性平均年薪,561000
基隆市,2020,女性平均年薪,576000
基隆市,2021,女性平均年薪,583000
基隆市,2022,女性平均年薪,604000
基隆市,2023,女性平均年薪,612000
新竹市,2020,女性平均年薪,797000
新竹市,2021,女性平均年薪,877000
新竹市,2022,女性平均年薪,922000
新竹市,2023,女性平均年薪,924000
嘉義市,2020,女性平均年薪,542000
嘉義市,2021,女性平均年薪,546000
嘉義市,2022,女性平均年薪,564000
嘉義市,2023,女性平均年薪,578000
