郡カ,,兜ヘ,羱戈
穝カ,2020,╧┦い计羱,546000
穝カ,2021,╧┦い计羱,557000
穝カ,2022,╧┦い计羱,558000
穝カ,2023,╧┦い计羱,568000
籓カ,2020,╧┦い计羱,710000
籓カ,2021,╧┦い计羱,715000
籓カ,2022,╧┦い计羱,735000
籓カ,2023,╧┦い计羱,761000
堕カ,2020,╧┦い计羱,616000
堕カ,2021,╧┦い计羱,639000
堕カ,2022,╧┦い计羱,643000
堕カ,2023,╧┦い计羱,648000
籓いカ,2020,╧┦い计羱,509000
籓いカ,2021,╧┦い计羱,520000
籓いカ,2022,╧┦い计羱,527000
籓いカ,2023,╧┦い计羱,536000
籓玭カ,2020,╧┦い计羱,537000
籓玭カ,2021,╧┦い计羱,561000
籓玭カ,2022,╧┦い计羱,565000
籓玭カ,2023,╧┦い计羱,573000
蔼动カ,2020,╧┦い计羱,546000
蔼动カ,2021,╧┦い计羱,560000
蔼动カ,2022,╧┦い计羱,560000
蔼动カ,2023,╧┦い计羱,572000
﹜孽郡,2020,╧┦い计羱,501000
﹜孽郡,2021,╧┦い计羱,505000
﹜孽郡,2022,╧┦い计羱,515000
﹜孽郡,2023,╧┦い计羱,526000
穝λ郡,2020,╧┦い计羱,781000
穝λ郡,2021,╧┦い计羱,827000
穝λ郡,2022,╧┦い计羱,834000
穝λ郡,2023,╧┦い计羱,826000
璢郡,2020,╧┦い计羱,595000
璢郡,2021,╧┦い计羱,618000
璢郡,2022,╧┦い计羱,622000
璢郡,2023,╧┦い计羱,626000
裹て郡,2020,╧┦い计羱,468000
裹て郡,2021,╧┦い计羱,469000
裹て郡,2022,╧┦い计羱,473000
裹て郡,2023,╧┦い计羱,474000
玭щ郡,2020,╧┦い计羱,495000
玭щ郡,2021,╧┦い计羱,495000
玭щ郡,2022,╧┦い计羱,496000
玭щ郡,2023,╧┦い计羱,499000
冻狶郡,2020,╧┦い计羱,563000
冻狶郡,2021,╧┦い计羱,581000
冻狶郡,2022,╧┦い计羱,574000
冻狶郡,2023,╧┦い计羱,586000
古竡郡,2020,╧┦い计羱,502000
古竡郡,2021,╧┦い计羱,502000
古竡郡,2022,╧┦い计羱,505000
古竡郡,2023,╧┦い计羱,521000
狥郡,2020,╧┦い计羱,462000
狥郡,2021,╧┦い计羱,464000
狥郡,2022,╧┦い计羱,468000
狥郡,2023,╧┦い计羱,481000
籓狥郡,2020,╧┦い计羱,447000
籓狥郡,2021,╧┦い计羱,451000
籓狥郡,2022,╧┦い计羱,458000
籓狥郡,2023,╧┦い计羱,479000
浆郡,2020,╧┦い计羱,484000
浆郡,2021,╧┦い计羱,486000
浆郡,2022,╧┦い计羱,491000
浆郡,2023,╧┦い计羱,518000
缄打郡,2020,╧┦い计羱,459000
缄打郡,2021,╧┦い计羱,459000
缄打郡,2022,╧┦い计羱,470000
缄打郡,2023,╧┦い计羱,481000
膀订カ,2020,╧┦い计羱,537000
膀订カ,2021,╧┦い计羱,549000
膀订カ,2022,╧┦い计羱,558000
膀订カ,2023,╧┦い计羱,567000
穝λカ,2020,╧┦い计羱,899000
穝λカ,2021,╧┦い计羱,980000
穝λカ,2022,╧┦い计羱,1016000
穝λカ,2023,╧┦い计羱,1036000
古竡カ,2020,╧┦い计羱,462000
古竡カ,2021,╧┦い计羱,465000
古竡カ,2022,╧┦い计羱,467000
古竡カ,2023,╧┦い计羱,479000
