製造四大工業,產業類別,產業性質,產業名稱
民生工業,製造業,食品及飼品製造業,肉類加工及保藏業
民生工業,製造業,食品及飼品製造業,肉類加工及保藏業
民生工業,製造業,食品及飼品製造業,水產加工及保藏業
民生工業,製造業,食品及飼品製造業,蔬果加工及保藏業
民生工業,製造業,食品及飼品製造業,動植物油脂製造業
民生工業,製造業,食品及飼品製造業,乳品製造業
民生工業,製造業,食品及飼品製造業,碾榖、磨粉及澱粉製品製造業
民生工業,製造業,食品及飼品製造業,碾榖、磨粉及澱粉製品製造業
民生工業,製造業,食品及飼品製造業,碾榖、磨粉及澱粉製品製造業
民生工業,製造業,食品及飼品製造業,動物飼品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,食品及飼品製造業,其他食品製造業
民生工業,製造業,飲料製造業,酒精飲料製造業
民生工業,製造業,飲料製造業,酒精飲料製造業
民生工業,製造業,飲料製造業,非酒精飲料製造業
民生工業,製造業,菸草製造業,菸草製造業
民生工業,製造業,紡織業,棉毛紡紗業
民生工業,製造業,紡織業,人造纖維紡紗業
民生工業,製造業,紡織業,人造纖維加工絲業
民生工業,製造業,紡織業,其他紡紗業
民生工業,製造業,紡織業,棉毛梭織布業
民生工業,製造業,紡織業,人造纖維梭織布業
民生工業,製造業,紡織業,玻璃纖維梭織布業
民生工業,製造業,紡織業,針織布業
民生工業,製造業,紡織業,其他織布業
民生工業,製造業,紡織業,不織布業
民生工業,製造業,紡織業,染整業
民生工業,製造業,紡織業,紡織製成品製造業
民生工業,製造業,紡織業,繩、纜及網製造業
民生工業,製造業,紡織業,其他紡織品製造業
民生工業,製造業,成衣及服飾品製造業,成衣製造業
民生工業,製造業,成衣及服飾品製造業,服飾品製造業
化學工業,製造業,皮革、毛皮及其製品製造業,皮革及毛皮整製業
化學工業,製造業,皮革、毛皮及其製品製造業,鞋類製造業
化學工業,製造業,皮革、毛皮及其製品製造業,行李箱及手提袋製造業
化學工業,製造業,皮革、毛皮及其製品製造業,其他皮革及毛皮製品製造業
民生工業,製造業,木竹製品製造業,製材業
民生工業,製造業,木竹製品製造業,合板及組合木材製造業
民生工業,製造業,木竹製品製造業,建築用木製品製造業
民生工業,製造業,木竹製品製造業,木質容器製造業
民生工業,製造業,木竹製品製造業,其他木竹製品製造業
化學工業,製造業,紙漿、紙及紙製品製造業,紙漿製造業
化學工業,製造業,紙漿、紙及紙製品製造業,紙張製造業
化學工業,製造業,紙漿、紙及紙製品製造業,紙板製造業
化學工業,製造業,紙漿、紙及紙製品製造業,瓦楞紙板及紙容器製造業
化學工業,製造業,紙漿、紙及紙製品製造業,家庭及衛生用紙製造業
化學工業,製造業,紙漿、紙及紙製品製造業,未分類其他紙製品製造業
化學工業,製造業,印刷及資料儲存媒體複製業,印刷業
化學工業,製造業,印刷及資料儲存媒體複製業,印刷輔助業
化學工業,製造業,印刷及資料儲存媒體複製業,資料儲存媒體複製業
化學工業,製造業,石油及煤製品製造業,石油及煤製品製造業
化學工業,製造業,化學材料及肥料製造業,化學原材料製造業
化學工業,製造業,化學材料及肥料製造業,肥料及氮化合物製造業
化學工業,製造業,化學材料及肥料製造業,塑膠原料製造業
化學工業,製造業,化學材料及肥料製造業,合成橡膠原料製造業
化學工業,製造業,化學材料及肥料製造業,人造纖維製造業
化學工業,製造業,其他化學製品製造業,農藥及環境用藥製造業
化學工業,製造業,其他化學製品製造業,塗料、染料及顏料製造業
化學工業,製造業,其他化學製品製造業,清潔用品製造業
化學工業,製造業,其他化學製品製造業,化粧品製造業
化學工業,製造業,其他化學製品製造業,未分類其他化學製品製造業
化學工業,製造業,藥品及醫用化學製品製造業,原料藥製造業
化學工業,製造業,藥品及醫用化學製品製造業,西藥製造業
化學工業,製造業,藥品及醫用化學製品製造業,醫用生物製品製造業
化學工業,製造業,藥品及醫用化學製品製造業,中藥製造業
化學工業,製造業,藥品及醫用化學製品製造業,醫用化學製品製造業
化學工業,製造業,橡膠製品製造業,輪胎製造業
化學工業,製造業,橡膠製品製造業,工業用橡膠製品製造業
化學工業,製造業,橡膠製品製造業,其他橡膠製品製造業
化學工業,製造業,塑膠製品製造業,塑膠皮、板及管材製造業
化學工業,製造業,塑膠製品製造業,塑膠膜袋製造業
化學工業,製造業,塑膠製品製造業,塑膠外殼及配件製造業
化學工業,製造業,塑膠製品製造業,其他塑膠製品製造業
民生工業,製造業,非金屬礦物製品製造業,平板玻璃及其製品製造業
民生工業,製造業,非金屬礦物製品製造業,玻璃容器製造業
民生工業,製造業,非金屬礦物製品製造業,玻璃纖維製造業
民生工業,製造業,非金屬礦物製品製造業,其他玻璃及其製品製造業
民生工業,製造業,非金屬礦物製品製造業,耐火材料製造業
民生工業,製造業,非金屬礦物製品製造業,黏土建築材料製造業
民生工業,製造業,非金屬礦物製品製造業,其他陶瓷製品製造業
民生工業,製造業,非金屬礦物製品製造業,水泥製造業
民生工業,製造業,非金屬礦物製品製造業,預拌混凝土製造業
民生工業,製造業,非金屬礦物製品製造業,水泥及混凝土製品製造業
民生工業,製造業,非金屬礦物製品製造業,石材製品製造業
民生工業,製造業,非金屬礦物製品製造業,研磨材料製造業
民生工業,製造業,非金屬礦物製品製造業,未分類其他非金屬礦物製品製造業
金屬機電工業,製造業,基本金屬製造業,鋼鐵冶鍊業
金屬機電工業,製造業,基本金屬製造業,鋼鐵鑄造業
金屬機電工業,製造業,基本金屬製造業,鋼鐵軋延及擠型業
金屬機電工業,製造業,基本金屬製造業,鋼鐵伸線業
金屬機電工業,製造業,基本金屬製造業,鍊鋁業
金屬機電工業,製造業,基本金屬製造業,鋁鑄造業
金屬機電工業,製造業,基本金屬製造業,鋁材軋延、擠型及伸線業
金屬機電工業,製造業,基本金屬製造業,鍊銅業
金屬機電工業,製造業,基本金屬製造業,銅鑄造業
金屬機電工業,製造業,基本金屬製造業,銅材軋延、擠型及伸線業
金屬機電工業,製造業,基本金屬製造業,其他基本金屬鑄造業
金屬機電工業,製造業,基本金屬製造業,未分類其他基本金屬製造業
金屬機電工業,製造業,金屬製品製造業,金屬刀具及手工具製造業
金屬機電工業,製造業,金屬製品製造業,金屬模具製造業
金屬機電工業,製造業,金屬製品製造業,金屬結構製造業
金屬機電工業,製造業,金屬製品製造業,金屬建築組件製造業
金屬機電工業,製造業,金屬製品製造業,鍋爐、金屬貯槽及壓力容器製造業
金屬機電工業,製造業,金屬製品製造業,其他金屬容器製造業
金屬機電工業,製造業,金屬製品製造業,金屬鍛造業
金屬機電工業,製造業,金屬製品製造業,粉末冶金業
金屬機電工業,製造業,金屬製品製造業,金屬熱處理業
金屬機電工業,製造業,金屬製品製造業,金屬表面處理業
金屬機電工業,製造業,金屬製品製造業,其他金屬加工處理業
金屬機電工業,製造業,金屬製品製造業,螺絲、螺帽及鉚釘製造業
金屬機電工業,製造業,金屬製品製造業,金屬彈簧及線製品製造業
金屬機電工業,製造業,金屬製品製造業,未分類其他金屬製品製造業
資訊電子工業,製造業,電子零組件製造業,積體電路製造業
資訊電子工業,製造業,電子零組件製造業,分離式元件製造業
資訊電子工業,製造業,電子零組件製造業,半導體封裝及測試業
資訊電子工業,製造業,電子零組件製造業,被動電子元件製造業
