年別,產業別,總平均月薪資
2000,工業及服務業,41831
2001,工業及服務業,41952
2002,工業及服務業,41533
2003,工業及服務業,42068
2004,工業及服務業,42684
2005,工業及服務業,43162
2006,工業及服務業,43492
2007,工業及服務業,44411
2008,工業及服務業,44419
2009,工業及服務業,42300
2010,工業及服務業,44647
2011,工業及服務業,45963
2012,工業及服務業,46075
2013,工業及服務業,46087
2014,工業及服務業,47744
2015,工業及服務業,48956
2016,工業及服務業,49257
2017,工業及服務業,50634
2018,工業及服務業,52468
2019,工業及服務業,53551
2020,工業及服務業,54278
2021,工業及服務業,56127
2022,工業及服務業,58042
2023,工業及服務業,58420
2024,工業及服務業,61002
2025,工業及服務業,68257
2000,工業,39505
2001,工業,39011
2002,工業,38843
2003,工業,39858
2004,工業,40849
2005,工業,41916
2006,工業,42515
2007,工業,43358
2008,工業,43384
2009,工業,40338
2010,工業,43465
2011,工業,44824
2012,工業,45375
2013,工業,45632
2014,工業,47269
2015,工業,48928
2016,工業,49332
2017,工業,50899
2018,工業,53380
2019,工業,54597
2020,工業,55282
2021,工業,58900
2022,工業,61408
2023,工業,60832
2024,工業,63672
2025,工業,70325
2000,服務業,44143
2001,服務業,44796
2002,服務業,44105
2003,服務業,44152
2004,服務業,44386
2005,服務業,44280
2006,服務業,44349
2007,服務業,45320
2008,服務業,45298
2009,服務業,43869
2010,服務業,45603
2011,服務業,46885
2012,服務業,46633
2013,服務業,46445
2014,服務業,48116
2015,服務業,48977
2016,服務業,49200
2017,服務業,50434
2018,服務業,51785
2019,服務業,52807
2020,服務業,53569
2021,服務業,54164
2022,服務業,55669
2023,服務業,56744
2024,服務業,59176
2025,服務業,66849
