年月別,工業及服務業,男性,女性,工業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,服務業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,專業科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術_娛樂及休閒服務業,其他服務業
198001,6984,8031,5517,6343,10987,5997,11360,7540,7340,8284,7089,9141,6391,11674,10651,16656,9381,9000,-,11380,7164,7637
198002,7042,8050,5631,6396,8254,6134,10673,7733,7346,8362,7139,9117,6438,12075,10792,16848,9260,9038,-,12265,6943,7723
198003,7157,8151,5773,6547,9940,6248,11331,7929,7506,8421,7260,9106,6583,11749,10925,16768,9384,9146,-,11769,7268,7621
198004,7238,8311,5724,6614,10945,6244,12153,8065,7766,8533,7360,9182,6468,11869,11172,16860,9544,9307,-,11787,7602,7773
198005,7437,8484,5951,6856,10998,6511,11118,8198,7949,8635,7513,9250,6462,11919,11116,16889,9722,9371,-,11858,7522,7913
198006,7518,8573,6006,6962,12064,6561,11580,8290,8156,8680,7606,9309,6670,11787,11127,16900,9515,9423,-,11646,7451,7818
198007,7834,9089,6109,7133,11924,6723,14316,8999,8340,9339,7893,10764,6856,13400,12442,16884,10062,9696,-,12575,7578,8059
198008,8077,9308,6372,7344,11804,6948,14379,9058,8481,9650,8797,10171,6701,13363,12518,16833,10298,9932,-,12745,7817,8102
198009,8219,9465,6467,7465,11693,7101,14367,9262,8437,9807,9053,10259,6933,13365,12633,16927,10354,10037,-,12759,7593,8167
198010,8410,9663,6622,7649,12826,7271,14323,9086,8589,10013,9374,10444,6998,13374,12859,17096,10359,10023,-,12650,7759,8184
198011,8473,9708,6692,7716,12538,7361,13952,9231,8575,10062,9426,10503,7103,13217,13269,17165,10402,9997,-,12717,7223,8033
198012,8612,9880,6808,7868,11751,7454,14157,9305,9134,10159,9486,10583,7090,13401,13678,17214,10476,9984,-,12719,7609,8221
198101,8943,10542,6641,8202,14417,7846,16148,10007,8788,10500,9574,11356,7038,13426,15757,17386,10546,10250,-,13043,7535,7772
198102,9158,10850,6784,8466,16888,7990,16063,9757,9538,10518,9941,11009,7095,14200,13948,17395,10727,10032,-,13506,8419,7419
198103,8950,10593,6627,8296,13440,7757,15629,9808,10157,10226,9248,11098,7469,14334,14132,17410,10624,10442,-,14182,8237,6716
198104,9232,10876,6922,8541,13542,8038,15386,10030,10217,10595,9849,11179,7571,14448,13993,17515,11040,10307,-,14114,7676,7980
198105,9387,11061,7041,8738,13757,8231,15324,9870,10450,10661,9886,11301,7591,14380,14214,17594,11085,10466,-,14280,7656,8054
198106,9412,11092,7030,8728,13314,8169,15414,9919,10797,10756,9982,11385,7616,14557,14251,17477,11262,10513,-,14313,7919,8181
198107,9635,11369,7220,8908,13960,8376,17808,10088,10832,11088,10191,11998,8123,15155,15320,17574,11339,10550,-,14390,7312,8161
198108,9846,11584,7439,9093,14531,8574,18066,10125,10917,11340,10511,12111,8219,15362,15932,17605,11456,10615,-,14395,7627,8324
198109,9963,11657,7594,9209,14154,8720,18033,10698,10880,11447,10682,12093,8307,15285,15994,17619,11831,10819,-,14069,7841,8382
198110,10071,11827,7618,9356,15011,8818,18237,10559,11229,11474,10732,12056,8287,15276,15924,17668,12089,10961,-,14033,7839,8420
198111,10077,11805,7673,9374,14987,8842,17770,10669,11297,11455,10728,12013,8236,15188,15911,17655,12000,10939,-,13975,7932,8413
198112,10138,11908,7689,9472,15930,8882,17901,10653,11567,11451,10641,12187,8186,15197,15980,18562,12069,10987,-,13729,7896,8409
198201,10241,12098,7751,9521,16227,9011,18311,10567,11109,11638,10689,12564,8243,15073,16930,19713,12207,11093,-,14026,8070,8420
198202,10158,12200,7436,9482,13480,9066,18291,10692,10902,11445,10428,12547,8108,14855,16272,19314,12595,11346,-,12969,8006,8772
198203,10262,12209,7646,9590,15319,9114,17962,11069,11089,11544,10524,12674,8272,14861,16460,18725,12570,11889,-,12969,8188,8869
198204,10308,12252,7691,9631,15681,9107,18215,11156,11318,11602,10545,12685,8251,15052,16620,18923,12868,12005,-,13019,8465,8988
198205,10415,12313,7857,9761,14808,9267,18228,11389,11449,11649,10662,12682,8181,14926,16447,19025,12960,12082,-,13012,8462,9006
198206,10410,12312,7845,9750,14328,9274,18208,12003,11402,11665,10583,12759,8113,15054,16753,18947,12963,12186,-,12995,8435,9050
198207,10430,12364,7843,9767,14249,9322,18164,11635,11389,11701,10665,12870,8128,14788,16459,18901,13156,12213,-,12931,8545,9094
198208,10444,12355,7899,9753,14170,9325,17697,11633,11277,11763,10730,12941,8212,15071,16416,18876,13234,12175,-,13097,8399,9069
198209,10491,12400,7910,9775,14453,9340,18091,11651,11241,11844,10783,13020,8324,15081,16743,18791,13364,12159,-,13096,8472,9069
198210,10459,12367,7893,9760,15022,9408,18039,11630,10625,11775,10717,12954,8258,15049,16508,18802,13286,12225,-,13048,8449,9022
198211,10496,12401,7914,9801,14972,9384,17992,11512,11136,11786,10699,12954,8384,15028,16384,18783,13480,12359,-,13163,8394,9060
198212,10649,12556,8054,9999,15464,9551,18091,11439,11457,11864,10850,12975,8338,15140,16458,18717,13368,12350,-,13247,8413,9057
198301,10501,12368,7984,9737,14918,9320,18272,11516,11085,11938,10963,13047,8398,15031,16493,18772,13411,12450,-,12778,8422,9048
198302,10425,12371,7825,9628,11398,9288,18172,11514,10912,11928,10998,12760,8423,15227,16719,18817,13435,11469,-,12830,8474,9104
198303,10746,12664,8160,10061,14031,9656,18092,11568,11532,12030,11095,12950,8424,15231,16784,19101,13598,11714,-,12928,8740,9047
198304,10817,12749,8214,10175,14012,9753,18264,11614,11837,12022,11099,12988,8383,15262,16689,18936,13615,11519,-,12778,8579,9100
198305,11023,13010,8339,10446,14159,9937,18271,11849,12607,12115,11248,12991,8481,15207,16656,19105,13759,11765,-,12742,8585,9268
198306,11007,12985,8330,10428,14084,9876,18515,12114,12769,12123,11190,12947,8548,15444,16814,19233,13808,11938,-,12802,8478,9301
198307,11026,13051,8357,10426,14495,9884,18323,11995,12825,12189,11299,13033,8737,15075,16887,19531,13945,12198,-,13125,8857,9562
198308,11163,13273,8384,10573,14693,10045,18334,11955,13045,12318,11282,13238,8613,15338,16879,19556,14560,12310,-,13359,9204,9698
198309,11271,13377,8461,10652,14654,10130,18361,12176,13045,12464,11473,13301,8773,15362,16869,20105,14860,11450,-,13621,9642,9662
198310,11285,13380,8509,10680,15076,10172,18276,12122,13024,12447,11491,13286,8518,15357,16715,20271,14663,11682,-,13577,9516,9805
198311,11340,13410,8591,10747,15556,10214,18286,12080,13172,12480,11514,13346,8740,15357,16717,20024,14864,12010,-,13478,9472,9591
198312,11546,13616,8808,10976,16185,10430,18325,12134,13496,12644,11747,13444,8757,15398,16792,20608,14981,12172,-,13394,10157,9766
198401,11595,13607,8927,11015,16555,10563,18375,12072,12940,12710,11819,13613,8866,15492,17054,19492,14901,12281,-,13607,9638,9494
198402,11291,13294,8621,10469,12367,9954,18504,12004,13486,12859,12183,12984,9222,15433,17083,19748,15105,12363,-,14381,9680,9546
198403,11792,13904,8945,11137,15650,10652,18664,11436,13706,13074,12628,12996,9563,15526,17064,20274,15492,12039,-,14310,9729,9202
