縣市,年度,平均_總計,平均_男,平均_女,中位數_總計,中位數_男,中位數_女
新北市,109年,63.6,69.4,56.8,50.8,54.6,47
新北市,110年,65.3,71.5,58,51.5,55.7,47.7
新北市,111年,66.9,73,59.9,52.2,55.8,48.9
新北市,112年,67.8,73.5,61.2,53.3,56.8,50.3
臺北市,109年,83.9,90.9,77.2,65.8,71,61.8
臺北市,110年,85.8,93.2,78.7,66.1,71.5,62.4
臺北市,111年,89.6,96.9,82.7,68.4,73.5,64.8
臺北市,112年,90.9,97.7,84.4,70.8,76.1,67
桃園市,109年,68.8,75.8,59.6,56,61.6,49.5
桃園市,110年,71.5,79.1,61.4,57.5,63.9,50.6
桃園市,111年,73.7,81.5,63.6,58.3,64.3,51.7
桃園市,112年,74.6,82.2,64.7,59.2,64.8,52.3
臺中市,109年,58.9,64.7,52.5,46.9,50.9,43
臺中市,110年,60.9,67.5,53.7,47.2,52,43.5
臺中市,111年,62.8,69.3,55.6,48.3,52.7,44.8
臺中市,112年,63.6,69.7,57,49.5,53.6,46.4
臺南市,109年,62.6,69.8,54.3,48.6,53.7,43.4
臺南市,110年,66.2,74.8,56.5,49.4,56.1,44
臺南市,111年,68.3,76.9,58.4,50.3,56.5,45.3
臺南市,112年,69,77.7,59.2,51.2,57.3,46.6
高雄市,109年,61.6,67.1,54.7,49.4,54.6,44
高雄市,110年,63.4,69.6,55.8,50,56,44.4
高雄市,111年,65.2,71.6,57.5,50.6,56,45.6
高雄市,112年,65.2,70.9,58.3,51.8,57.2,47.2
宜蘭縣,109年,56,59.7,51.3,47,50.1,43.3
宜蘭縣,110年,57.1,61,52.2,47.6,50.5,44.2
宜蘭縣,111年,58.3,62,53.9,48.8,51.5,46
宜蘭縣,112年,59.2,62.9,54.9,50,52.6,47.1
新竹縣,109年,90.9,103.3,72.9,68.1,78.1,59
新竹縣,110年,95.2,109,75.6,71.5,82.7,60
新竹縣,111年,101.3,117.3,78.9,72,83.4,60.8
新竹縣,112年,98.5,113.1,77.9,71.6,82.6,61.5
苗栗縣,109年,65.5,72.6,56.2,53.7,59.5,47
苗栗縣,110年,70.3,77.8,60.9,55.8,61.8,48.8
苗栗縣,111年,72,79.8,62.3,56.1,62.2,50.1
苗栗縣,112年,71.7,79.2,62.5,56.7,62.6,50.8
彰化縣,109年,51.7,56.3,46.8,42.2,46.8,38.7
彰化縣,110年,53,57.9,47.8,43.1,46.9,39.9
彰化縣,111年,54.3,59.1,49.1,43.7,47.3,40.8
彰化縣,112年,55,59.4,50.2,44.3,47.4,41.9
南投縣,109年,56.9,61.8,51.8,45.7,49.5,42.4
南投縣,110年,57.6,62.8,52.2,45.9,49.5,42.9
南投縣,111年,58.2,62.7,53.5,46.8,49.6,44.4
南投縣,112年,58.8,63.2,54.4,47.3,49.9,45.1
雲林縣,109年,62.8,69.8,52.5,49.3,56.3,42
雲林縣,110年,62.7,69.9,52.4,49.2,58.1,42.3
雲林縣,111年,64.3,71.7,54,49.3,57.4,43.3
雲林縣,112年,64.6,71.5,54.8,50.5,58.6,44.6
嘉義縣,109年,59,65,51.4,45.7,50.2,41
嘉義縣,110年,59.2,65.7,51.3,45.6,50.2,41.6
嘉義縣,111年,60.2,66.5,52.6,46.2,50.5,42.7
嘉義縣,112年,60.8,66.2,54.1,47.7,52.1,44.3
屏東縣,109年,53.4,57.8,48.9,42.8,46.2,40.1
屏東縣,110年,53.9,58.4,49.4,43.4,46.4,41
屏東縣,111年,54.8,58.7,50.9,44.4,46.8,42.5
屏東縣,112年,56.2,59.9,52.6,45.9,48.1,44
臺東縣,109年,55.6,57.3,53.8,43.3,44.7,41.9
臺東縣,110年,55.5,57.5,53.5,43.7,45.1,42.4
臺東縣,111年,56.8,58.4,55.1,45.1,45.8,44.5
臺東縣,112年,57.8,59.5,56,46.7,47.9,45.9
花蓮縣,109年,57.4,60.2,54.3,46.1,48.4,43.6
花蓮縣,110年,57.7,60.5,54.7,46.6,48.6,44.4
花蓮縣,111年,59,61.3,56.5,47.4,49.1,45.9
花蓮縣,112年,60.3,62.5,57.9,49.6,51.8,47.8
澎湖縣,109年,56.6,59.1,54.1,43.5,45.9,41.6
澎湖縣,110年,56.5,59.3,53.6,43.6,45.9,41.6
澎湖縣,111年,57,59.6,54.3,44.9,47,43.3
澎湖縣,112年,58.1,60,56.1,46.6,48.1,45.3
基隆市,109年,62.2,65.8,57.6,50,53.7,46.2
基隆市,110年,63.2,67.2,58.3,50.8,54.9,47.3
基隆市,111年,65.1,68.9,60.4,51.9,55.8,48
基隆市,112年,65.8,69.7,61.2,52.9,56.7,49.1
新竹市,109年,101.8,118.8,79.7,75,89.9,63.5
新竹市,110年,117.3,139.7,87.7,80.2,98,65.6
新竹市,111年,125.6,151.5,92.2,82.7,101.6,66.6
新竹市,112年,122.9,146.3,92.4,84.5,103.6,67
嘉義市,109年,57.6,61.4,54.2,44.4,46.2,42.5
嘉義市,110年,58.3,62.2,54.6,44.7,46.5,43
嘉義市,111年,59.6,63.2,56.4,45.3,46.7,44.3
嘉義市,112年,60.6,63.7,57.8,46.9,47.9,45.8
