年別,工業及服務業,男性,女性,工業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,服務業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,專業科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術_娛樂及休閒服務業,其他服務業
1980,7759,8906,6144,7084,11314,6719,12828,8568,8168,9169,8172,9823,6727,12612,11952,16921,9906,9591,-,12253,7465,7941
1981,9572,11267,7196,8869,14484,8360,16838,10192,10532,10965,10170,11652,7818,14748,15121,17625,11346,10581,-,14009,7824,8030
1982,10397,12319,7811,9715,14847,9264,18106,11369,11202,11690,10655,12803,8234,14998,16536,18962,13005,12013,-,13131,8353,8957
1983,11020,13030,8337,10388,14422,9902,18291,11887,12467,12229,11288,13114,8567,15274,16752,19516,14128,11892,-,13131,9012,9415
1984,11995,14142,9138,11275,15226,10812,19135,11623,13732,13415,12795,13491,9820,16034,17426,20324,15829,13008,-,15253,9654,9658
1985,12534,14824,9491,11792,15686,11372,21309,12343,13899,13997,13191,14490,9688,17226,18582,20370,16531,13246,-,16088,9550,9636
1986,13237,15545,10192,12446,15976,12054,22675,13262,14380,14831,14207,15276,10056,18824,19343,19431,16688,14047,-,17089,10144,9710
1987,14186,16587,11018,13411,16631,13039,23825,13822,15257,15717,15230,16018,10229,20097,20143,20947,17848,14473,-,18046,10940,10366
1988,15563,18200,12098,14816,17811,14389,25937,18398,16846,16928,16090,17258,11123,21960,21940,23291,19692,15657,-,19859,12053,11413
1989,17542,20540,13579,16760,19568,16200,31116,21318,19291,18833,17949,19142,12120,24591,23686,25595,22388,16827,-,21762,13998,12949
1990,19882,23173,15509,18890,21954,18156,35196,24839,21979,21365,20554,21498,13592,28010,25342,27864,25280,19325,-,25009,15639,14838
1991,22033,25651,17221,20929,24559,20020,39545,26612,24588,23608,22558,24163,15053,30498,28621,30676,27746,21146,-,26802,16161,16676
1992,23903,27836,18621,22925,25755,21838,41995,26678,27208,25208,23603,26200,16111,33005,31343,33590,29583,22089,-,29088,17925,18645
1993,25593,29736,19989,24702,27683,23376,45308,29556,29638,26711,24733,27802,17078,35897,34084,34334,31757,23578,-,30889,18713,19609
1994,27063,31232,21406,26101,29092,24741,48935,31868,30716,28217,26321,29298,18023,37945,36033,34040,32871,25098,-,32596,19677,20817
1995,28376,32485,22829,27266,30512,25988,51319,33163,31355,29580,27843,30474,18842,39950,36519,33970,34393,27741,-,34852,19485,22159
1996,29722,33919,24100,28292,31346,27021,53487,34299,32470,31225,29198,33031,19486,42119,37926,35018,35629,29169,-,37505,20752,23041
1997,30930,35125,25337,29319,32372,28103,55718,34755,33320,32609,30337,34561,20497,43267,40534,33912,36866,30067,-,39496,21949,23429
1998,31928,35999,26591,30122,33522,28931,57800,35425,34096,33772,31341,35658,20869,44877,42171,34905,37006,30341,-,40839,23054,25107
1999,33019,37103,27742,31062,34775,29937,59926,36232,34777,34987,32487,36673,21588,45861,43140,36428,39009,30848,-,42747,24182,26164
2000,33926,37989,28761,31909,36175,30893,60799,36862,35303,35930,33309,37463,22447,47787,43754,36376,40602,31357,-,44016,25312,27113
2001,34480,38326,29653,32136,37223,31308,61028,37691,34469,36746,33627,38094,22978,48682,46212,36362,41295,31488,-,45373,26196,27194
2002,34746,38364,30267,32244,38888,31539,62299,37696,33848,37138,33961,38223,23237,48649,49546,35244,40687,30920,-,45173,26194,26998
2003,34804,38321,30475,32592,39456,31944,63002,37623,33959,36891,34029,37984,22958,48176,48583,35053,40966,29855,-,45405,25935,26924
2004,35096,38654,30756,33073,39569,32471,63943,37283,34345,36974,34240,38301,22979,48202,49040,34977,41461,29625,-,45753,27007,26733
2005,35382,38827,31192,33621,40297,33024,64399,38565,34864,36962,33984,38918,23267,48468,49456,34558,42132,29517,-,46487,27828,26772
2006,35725,39026,31745,34219,40646,33622,65724,37627,35491,37046,33842,39187,23209,48740,52022,33324,42584,29582,-,46343,28503,27089
2007,36318,39489,32516,34683,40585,34076,65646,36279,36130,37730,34337,39373,23574,49136,55825,33185,42940,29979,-,47346,28838,27162
2008,36384,39684,32434,34801,39818,34150,65242,36004,36578,37729,34736,40013,24338,49442,52236,34850,44218,29803,-,48019,29602,27303
2009,35624,38810,31806,33576,40473,32536,64723,36313,37164,37261,34575,39539,24521,49250,52549,35398,43813,28617,21331,48381,29216,27272
2010,36234,39334,32521,34329,40774,33389,65243,36283,37502,37774,35195,39557,24936,49782,54609,36370,44039,28713,21295,49078,29925,27524
2011,36737,39848,33029,34754,41278,33907,66043,36424,37523,38341,35759,40332,25663,50909,55008,36023,44675,29318,21223,50100,30388,28251
2012,37195,40233,33580,35224,41827,34461,67184,36170,37501,38767,35948,40509,26598,52047,55405,36452,45721,30056,21541,51009,31740,28694
2013,37557,40616,33913,35659,42831,34850,67053,35778,38265,39052,36029,40694,27426,52911,56332,36370,46230,30438,21813,50909,32981,28965
2014,38220,41176,34718,36161,43021,35374,66875,35737,38802,39832,36698,40579,28503,53013,59821,37087,46539,31119,22802,51670,33231,28877
2015,38717,41627,35273,36565,42714,35903,66039,35455,38593,40380,37450,41060,28866,53790,59484,36993,47652,31787,22930,52823,33738,29151
