年月別,工業及服務業,男性,女性,工業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,服務業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,專業科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術_娛樂及休閒服務業,其他服務業
198001,8016,9052,6566,7606,11403,7483,12550,7827,7475,8848,7549,9862,6537,12550,11551,17931,10095,9747,-,11749,8512,7892
198002,10393,11514,8823,9548,8490,9889,13598,10980,7481,12117,11639,11231,11158,16384,14825,19195,13503,11700,-,15261,8852,9971
198003,7902,8897,6516,7284,10124,7092,13172,8121,7641,9182,7894,10094,6780,12770,13154,17251,9866,9545,-,12100,8466,7801
198004,7987,9097,6421,7454,11051,7210,14721,8315,7903,9093,7856,9676,6566,12789,12834,17353,10204,9832,-,11964,8675,7914
198005,8169,9241,6647,7686,11224,7473,12810,8565,8086,9164,8058,9730,6498,12683,12042,17412,10677,9908,-,12057,8223,8078
198006,8393,9497,6811,7921,12256,7682,13750,8690,8294,9379,8313,9822,6701,12561,13286,19468,10109,9882,-,11907,7780,8034
198007,8734,10029,6954,8129,12200,7882,16545,9184,8483,10034,8755,11358,6886,14236,13750,17376,10695,10119,-,12773,8030,8224
198008,8866,10147,7091,8211,12054,7960,16008,9355,8629,10271,9252,10759,8215,14155,14141,17274,10768,10420,-,12893,8133,8312
198009,9066,10374,7227,8355,11919,8144,16067,9673,8581,10565,9859,10936,7118,14140,14601,17460,10979,10572,-,13260,7976,8416
198010,9206,10509,7346,8544,13023,8321,16033,9373,8737,10600,10063,10933,7236,14069,13972,17531,10801,10448,-,12899,8094,8434
198011,9292,10595,7412,8617,12744,8417,16136,9533,8721,10708,10194,11001,7284,13918,14809,17580,10813,10395,-,12888,7517,8258
198012,10035,11496,7955,9069,12058,8866,17649,9580,9287,12041,11702,11621,7301,14193,19903,19742,12232,11628,-,12892,8443,8420
198101,11270,13328,8306,10343,15297,10375,17267,11669,9182,13217,12356,14567,9960,15096,20507,19031,12884,11630,-,14428,9234,8289
198102,10887,12974,7959,9594,17388,9238,17655,11365,10037,13430,13836,12845,8386,17918,16161,19546,14216,12423,-,14249,9862,8695
198103,9745,11492,7275,9146,13589,8746,17248,10087,10294,10914,9775,11746,7896,15393,15312,17929,11492,10817,-,14564,10538,8050
198104,9998,11718,7582,9389,13656,9030,17062,10725,10323,11201,10390,11789,7939,15519,15122,18035,11529,10735,-,14538,9683,8198
198105,10222,12005,7722,9635,13883,9278,16809,10363,10609,11373,10588,11952,7987,15326,15553,18131,11752,10903,-,14622,9969,8294
198106,10335,12140,7775,9629,13459,9207,16448,10445,11045,11720,11030,11983,7982,15465,16648,20110,11971,11045,-,14640,10177,8407
198107,10542,12391,7968,9852,14217,9383,27018,10334,11019,11922,11075,12587,8480,16302,17199,18103,11957,11088,-,14709,9874,8423
198108,10684,12530,8126,9979,14660,9590,19787,10423,11089,12082,11219,12967,8576,16293,17211,18067,12153,11183,-,14747,9845,8534
