縣市,年度,項目,年薪資
新北市,2020,平均年薪,636000
新北市,2021,平均年薪,653000
新北市,2022,平均年薪,669000
新北市,2023,平均年薪,678000
臺北市,2020,平均年薪,839000
臺北市,2021,平均年薪,858000
臺北市,2022,平均年薪,896000
臺北市,2023,平均年薪,909000
桃園市,2020,平均年薪,688000
桃園市,2021,平均年薪,715000
桃園市,2022,平均年薪,737000
桃園市,2023,平均年薪,746000
臺中市,2020,平均年薪,589000
臺中市,2021,平均年薪,609000
臺中市,2022,平均年薪,628000
臺中市,2023,平均年薪,636000
臺南市,2020,平均年薪,626000
臺南市,2021,平均年薪,662000
臺南市,2022,平均年薪,683000
臺南市,2023,平均年薪,690000
高雄市,2020,平均年薪,616000
高雄市,2021,平均年薪,634000
高雄市,2022,平均年薪,652000
高雄市,2023,平均年薪,652000
宜蘭縣,2020,平均年薪,560000
宜蘭縣,2021,平均年薪,571000
宜蘭縣,2022,平均年薪,583000
宜蘭縣,2023,平均年薪,592000
新竹縣,2020,平均年薪,909000
新竹縣,2021,平均年薪,952000
新竹縣,2022,平均年薪,1013000
新竹縣,2023,平均年薪,985000
苗栗縣,2020,平均年薪,655000
苗栗縣,2021,平均年薪,703000
苗栗縣,2022,平均年薪,720000
苗栗縣,2023,平均年薪,717000
彰化縣,2020,平均年薪,517000
彰化縣,2021,平均年薪,530000
彰化縣,2022,平均年薪,543000
彰化縣,2023,平均年薪,550000
南投縣,2020,平均年薪,569000
南投縣,2021,平均年薪,576000
南投縣,2022,平均年薪,582000
南投縣,2023,平均年薪,588000
雲林縣,2020,平均年薪,628000
雲林縣,2021,平均年薪,627000
雲林縣,2022,平均年薪,643000
雲林縣,2023,平均年薪,646000
嘉義縣,2020,平均年薪,590000
嘉義縣,2021,平均年薪,592000
嘉義縣,2022,平均年薪,602000
嘉義縣,2023,平均年薪,608000
屏東縣,2020,平均年薪,534000
屏東縣,2021,平均年薪,539000
屏東縣,2022,平均年薪,548000
屏東縣,2023,平均年薪,562000
臺東縣,2020,平均年薪,556000
臺東縣,2021,平均年薪,555000
臺東縣,2022,平均年薪,568000
臺東縣,2023,平均年薪,578000
花蓮縣,2020,平均年薪,574000
花蓮縣,2021,平均年薪,577000
花蓮縣,2022,平均年薪,590000
花蓮縣,2023,平均年薪,603000
澎湖縣,2020,平均年薪,566000
澎湖縣,2021,平均年薪,565000
澎湖縣,2022,平均年薪,570000
澎湖縣,2023,平均年薪,581000
基隆市,2020,平均年薪,622000
基隆市,2021,平均年薪,632000
基隆市,2022,平均年薪,651000
基隆市,2023,平均年薪,658000
新竹市,2020,平均年薪,1018000
新竹市,2021,平均年薪,1173000
新竹市,2022,平均年薪,1256000
新竹市,2023,平均年薪,1229000
嘉義市,2020,平均年薪,576000
嘉義市,2021,平均年薪,583000
嘉義市,2022,平均年薪,596000
嘉義市,2023,平均年薪,606000
