年別,產業別,總平均月薪資
2000,礦業及土石採取業,43066
2001,礦業及土石採取業,44068
2002,礦業及土石採取業,44804
2003,礦業及土石採取業,47720
2004,礦業及土石採取業,46307
2005,礦業及土石採取業,47671
2006,礦業及土石採取業,53344
2007,礦業及土石採取業,50949
2008,礦業及土石採取業,51333
2009,礦業及土石採取業,49448
2010,礦業及土石採取業,52551
2011,礦業及土石採取業,53978
2012,礦業及土石採取業,52752
2013,礦業及土石採取業,54871
2014,礦業及土石採取業,54093
2015,礦業及土石採取業,57198
2016,礦業及土石採取業,55425
2017,礦業及土石採取業,55339
2018,礦業及土石採取業,56967
2019,礦業及土石採取業,58510
2020,礦業及土石採取業,58585
2021,礦業及土石採取業,58076
2022,礦業及土石採取業,60857
2023,礦業及土石採取業,61765
2024,礦業及土石採取業,63873
2025,礦業及土石採取業,77993
2000,製造業,38922
2001,製造業,38420
2002,製造業,38444
2003,製造業,39558
2004,製造業,40666
2005,製造業,41868
2006,製造業,42403
2007,製造業,43240
2008,製造業,43297
2009,製造業,39525
2010,製造業,43152
2011,製造業,44603
2012,製造業,45318
2013,製造業,45685
2014,製造業,47455
2015,製造業,49374
2016,製造業,49969
2017,製造業,51853
2018,製造業,54567
2019,製造業,55816
2020,製造業,56538
2021,製造業,60545
2022,製造業,63324
2023,製造業,62492
2024,製造業,65622
2025,製造業,72129
2000,電力及燃氣供應業,91805
2001,電力及燃氣供應業,97399
2002,電力及燃氣供應業,93466
2003,電力及燃氣供應業,95191
2004,電力及燃氣供應業,94525
2005,電力及燃氣供應業,91184
2006,電力及燃氣供應業,97230
2007,電力及燃氣供應業,98519
2008,電力及燃氣供應業,89432
2009,電力及燃氣供應業,96285
2010,電力及燃氣供應業,96523
2011,電力及燃氣供應業,95382
2012,電力及燃氣供應業,92871
2013,電力及燃氣供應業,88934
2014,電力及燃氣供應業,94111
2015,電力及燃氣供應業,96595
2016,電力及燃氣供應業,94453
2017,電力及燃氣供應業,94764
2018,電力及燃氣供應業,96230
2019,電力及燃氣供應業,96389
2020,電力及燃氣供應業,94761
2021,電力及燃氣供應業,94111
2022,電力及燃氣供應業,96077
2023,電力及燃氣供應業,96596
2024,電力及燃氣供應業,96730
2025,電力及燃氣供應業,112145
2000,用水供應及污染整治業,44341
2001,用水供應及污染整治業,46002
2002,用水供應及污染整治業,43917
2003,用水供應及污染整治業,43954
2004,用水供應及污染整治業,42880
2005,用水供應及污染整治業,47647
2006,用水供應及污染整治業,47251
2007,用水供應及污染整治業,44399
2008,用水供應及污染整治業,44521
2009,用水供應及污染整治業,44042
2010,用水供應及污染整治業,45106
2011,用水供應及污染整治業,45828
2012,用水供應及污染整治業,43675
2013,用水供應及污染整治業,44143
2014,用水供應及污染整治業,44919
2015,用水供應及污染整治業,44357
2016,用水供應及污染整治業,43216
2017,用水供應及污染整治業,44170
2018,用水供應及污染整治業,45074
2019,用水供應及污染整治業,45403
2020,用水供應及污染整治業,44913
