年別,產業別,總平均月薪資
2000,男性,47198
2001,男性,46995
2002,男性,46132
2003,男性,46694
2004,男性,47471
2005,男性,47834
2006,男性,48019
2007,男性,48899
2008,男性,49062
2009,男性,46456
2010,男性,48970
2011,男性,50487
2012,男性,50435
2013,男性,50405
2014,男性,52046
2015,男性,53328
2016,男性,53530
2017,男性,54986
2018,男性,57110
2019,男性,58403
2020,男性,59168
2021,男性,61615
2022,男性,63676
2023,男性,63607
2024,男性,66749
2025,男性,74358
2000,女性,35009
2001,女性,35623
2002,女性,35840
2003,女性,36373
2004,女性,36844
2005,女性,37479
2006,女性,38034
2007,女性,39029
2008,女性,38861
2009,女性,37322
2010,女性,39470
2011,女性,40572
2012,女性,40886
2013,女性,40942
2014,女性,42646
2015,女性,43779
2016,女性,44177
2017,女性,45459
2018,女性,46954
2019,女性,47942
2020,女性,48609
2021,女性,49821
2022,女性,51611
2023,女性,52474
2024,女性,54422
2025,女性,61288
