職業類別,大類碼,大類名稱,中類,小類,細類,細類名稱,產業別分類
IC佈局工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
IC封裝∕測試工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
IC設計工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
PCB-Layout佈局工程師,C,製造業,26,263,2630,電子零組件製造業,電子零組件製造業
RF通訊工程師,C,製造業,26,265,2651,無線通訊設備製造業,無線通訊設備製造業
SMT工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
光學工程師,C,製造業,26,268,2680,光電元件製造業,光電元件製造業
光電工程師,C,製造業,26,268,2680,光電元件製造業,光電元件製造業
光電工程研發主管,C,製造業,26,268,2680,光電元件製造業,光電元件製造業
光電製程工程師,C,製造業,26,268,2680,光電元件製造業,光電元件製造業
光電設備工程師,C,製造業,26,268,2680,光電元件製造業,光電元件製造業
光電∕半導體工程助理,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
半導體工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
半導體工程研發主管,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
半導體製程工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
半導體設備工程師,C,製造業,26,264,2640,電子元件製造業,電子元件製造業
太陽能技術工程師,C,製造業,26,268,2680,光電元件製造業,光電元件製造業
數位IC設計工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
通訊工程研發主管,C,製造業,26,265,2651,無線通訊設備製造業,無線通訊設備製造業
零組件工程師,C,製造業,26,263,2630,電子零組件製造業,電子零組件製造業
電信∕通訊系統工程師,C,製造業,26,265,2651,無線通訊設備製造業,無線通訊設備製造業
電子工程主管,C,製造業,26,261,2610,電子材料與元件製造業,電子材料與元件製造業
電子工程師,C,製造業,26,261,2610,電子材料與元件製造業,電子材料與元件製造業
電子∕通訊工程助理,C,製造業,26,261,2610,電子材料與元件製造業,電子材料與元件製造業
電源工程師,C,製造業,26,261,2610,電子材料與元件製造業,電子材料與元件製造業
類比IC設計工程師,J,出版影音及資通訊業,62,620,6201,電腦程式設計服務業,電腦程式設計服務業
人類學研究人員,M,專業、科學及技術服務業,72,722,7220,社會科學及人文研究發展服務業,社會科學及人文研究發展服務業
其他研究人員,M,專業、科學及技術服務業,72,729,7290,其他未分類研究發展服務業,其他未分類研究發展服務業
其他語系教師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
助教,P,教育業,85,854,8540,高等教育業,高等教育業
助理研究人員,M,專業、科學及技術服務業,72,729,7290,其他未分類研究發展服務業,其他未分類研究發展服務業
化學相關研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
哲學研究人員,M,專業、科學及技術服務業,72,722,7220,社會科學及人文研究發展服務業,社會科學及人文研究發展服務業
國中教師,P,教育業,85,853,8530,國民中學教育業,國民中學教育業
國小教師,P,教育業,85,852,8520,國民小學教育業,國民小學教育業
地質與地球科學研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
天文相關研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
學校行政人員,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
心理學研究人員,M,專業、科學及技術服務業,72,722,7220,社會科學及人文研究發展服務業,社會科學及人文研究發展服務業
應用科學研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
政治相關研究人員,M,專業、科學及技術服務業,72,722,7220,社會科學及人文研究發展服務業,社會科學及人文研究發展服務業
教授∕副教授∕助理教授,P,教育業,85,854,8540,高等教育業,高等教育業
數學研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
日語教師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
歷史研究人員,M,專業、科學及技術服務業,72,722,7220,社會科學及人文研究發展服務業,社會科學及人文研究發展服務業
氣象相關研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
物理相關研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
特殊教育教師,P,教育業,85,857,8570,特殊教育業,特殊教育業
生物學專業與研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
研究助理,M,專業、科學及技術服務業,72,729,7290,其他未分類研究發展服務業,其他未分類研究發展服務業
社會學研究人員,M,專業、科學及技術服務業,72,722,7220,社會科學及人文研究發展服務業,社會科學及人文研究發展服務業
統計學研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
臨床∕實驗室研究人員,M,專業、科學及技術服務業,72,721,7210,自然科學及工程研究發展服務業,自然科學及工程研究發展服務業
英語教師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
華語教師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
講師,P,教育業,85,854,8540,高等教育業,高等教育業
韓語教師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
高中職教師,P,教育業,85,855,8550,高級中等教育業,高級中等教育業
作文老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
保母∕托育人員,Q,人類保健及社會工作服務業,87,871,8710,托育及看護服務業,托育及看護服務業
其他教育類老師,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
升學補習班老師,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
園長,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
安親課輔老師,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
幼教老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
才藝類老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
托育中心主任∕主管,Q,人類保健及社會工作服務業,87,871,8710,托育及看護服務業,托育及看護服務業
教保員∕保育員,Q,人類保健及社會工作服務業,87,871,8710,托育及看護服務業,托育及看護服務業
數理補習班老師,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
游泳教練,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
烹飪老師,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
珠心算老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
美術老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
舞蹈健身老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
補習班主任∕主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
補習班導師,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
語文補習班老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
課業輔導老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
運動教練,R,藝術、娛樂及休閒服務業,93,931,9310,運動及娛樂活動業,運動及娛樂活動業
電腦補習班老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
音樂老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
駕訓老師,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
傳播媒體編輯企劃,J,出版影音及資通訊業,58,581,5811,書籍雜誌出版業,書籍雜誌出版業
其他語言翻譯∕口譯人員,M,專業、科學及技術服務業,74,749,7490,其他專業、科學及技術服務業,其他專業、科學及技術服務業
剪輯師,J,出版影音及資通訊業,59,591,5911,電影及影片製作業,電影及影片製作業
執行製作∕助理,J,出版影音及資通訊業,59,591,5911,電影及影片製作業,電影及影片製作業
媒體公關主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
媒體公關人員,M,專業、科學及技術服務業,73,731,7310,廣告業,廣告業
字幕人員,J,出版影音及資通訊業,58,581,5811,書籍雜誌出版業,書籍雜誌出版業
導演∕導播,J,出版影音及資通訊業,59,591,5911,電影及影片製作業,電影及影片製作業
影片製作技術人員,J,出版影音及資通訊業,59,591,5911,電影及影片製作業,電影及影片製作業
技術文件∕說明書編譯,M,專業、科學及技術服務業,74,749,7490,其他專業、科學及技術服務業,其他專業、科學及技術服務業
排版人員,C,製造業,18,181,1811,印刷業,印刷業
播報人員,J,出版影音及資通訊業,60,602,6020,新聞節目製作及播送業,新聞節目製作及播送業
攝影助理,J,出版影音及資通訊業,59,591,5911,電影及影片製作業,電影及影片製作業
攝影師,J,出版影音及資通訊業,59,591,5911,電影及影片製作業,電影及影片製作業
攝影記者,J,出版影音及資通訊業,60,602,6020,新聞節目製作及播送業,新聞節目製作及播送業
教材編輯人員,J,出版影音及資通訊業,58,581,5811,書籍雜誌出版業,書籍雜誌出版業
文字記者,J,出版影音及資通訊業,60,602,6020,新聞節目製作及播送業,新聞節目製作及播送業
新聞∕傳播媒體主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
日文翻譯∕口譯人員,M,專業、科學及技術服務業,74,743,7430,翻譯及口譯服務業,翻譯及口譯服務業
校對人員,J,出版影音及資通訊業,58,581,5811,書籍雜誌出版業,書籍雜誌出版業
棚內技術工程人員,R,藝術、娛樂及休閒服務業,90,900,9000,表演活動製作,表演活動製作
樂器演奏∕合成音樂,R,藝術、娛樂及休閒服務業,90,900,9000,音樂表演及創作,音樂表演及創作
模特兒,R,藝術、娛樂及休閒服務業,90,900,9000,模特兒表演服務,模特兒表演服務
演員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
演藝經紀∕宣傳人員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
燈光技術人員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
發行企劃∕出版人員,J,出版影音及資通訊業,58,581,5811,書籍雜誌出版業,書籍雜誌出版業
編劇及詞曲創作,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
編採主管,P,教育業,85,859,8590,教育行政服務業,教育行政服務業
編輯∕文字類人員,J,出版影音及資通訊業,58,581,5811,書籍雜誌出版業,書籍雜誌出版業
聲樂及演唱家,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
舞台搭設工程人員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
舞蹈演藝人員,P,教育業,85,851,8510,學前教育及語文教育業,學前教育及語文教育業
英文翻譯∕口譯人員,M,專業、科學及技術服務業,74,749,7490,其他專業、科學及技術服務業,其他專業、科學及技術服務業
藝術指導∕藝術總監,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
表演∕主持∕直播人員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
配音人員,R,藝術、娛樂及休閒服務業,90,900,9000,創作及藝術表演服務業,創作及藝術表演服務業
