職業類別,大類名稱
人力資源主管,支援服務業
人力資源人員,支援服務業
人力資源專員,支援服務業
人力∕外勞仲介,支援服務業
招募顧問,支援服務業
教育訓練人員,教育服務業
保全主管,支援服務業
保全人員,支援服務業
停車場管理員,支援服務業
其他保全相關人員,支援服務業
大樓管理員,支援服務業
安全人員,支援服務業
門禁管制人員,支援服務業
倉管人員,運輸及倉儲業
其他倉儲物料人員,運輸及倉儲業
物料管理人員,運輸及倉儲業
資材人員,製造業
健康管理師,醫療保健及社會工作服務業
復健師,醫療保健及社會工作服務業
心理師,醫療保健及社會工作服務業
活動企劃人員,專業科學及技術服務業
照顧服務員,醫療保健及社會工作服務業
社工人員,醫療保健及社會工作服務業
諮商人員,醫療保健及社會工作服務業
長照服務員,醫療保健及社會工作服務業
公家機關臨時人員,公共行政及國防
加油員,批發及零售業
家事服務人員,支援服務業
家事服務工,支援服務業
服務台人員,批發及零售業
汽車美容人員,其他服務業
派報生∕傳單派送,支援服務業
清潔工∕資源回收人員,支援服務業
生命禮儀師,其他服務業
生產人員,製造業
翻譯,專業科學及技術服務業
聯絡員∕調度專員∕協調專員,支援服務業
花藝設計師,農林漁牧業
花藝∕園藝人員,農林漁牧業
苦工,支援服務業
調茶員,餐飲業
其他客服人員,支援服務業
客戶技術支援,資訊及通訊傳播業
客戶支援人員,支援服務業
客訴客服,支援服務業
文字客服,支援服務業
線上客服,支援服務業
電訪人員,支援服務業
電話客服,支援服務業
其他專案管理,專業科學及技術服務業
專案主管,專業科學及技術服務業
專案管理主管,專業科學及技術服務業
專案經理,專業科學及技術服務業
技術專案管理人員∕系統分析∕ERP專案師,資訊及通訊傳播業
永續管理師,專業科學及技術服務業
產品專案經理,專業科學及技術服務業
產品經理,專業科學及技術服務業
軟體專案管理師,資訊及通訊傳播業
半導體設備工程師,製造業
技術人員,製造業
機械修護人員,製造業
機電技師,製造業
水電工,營建工程業
設備維修人員,其他服務業
電器技術人員,製造業
其他教育人員,教育服務業
學前特殊教育老師,教育服務業
安親班老師,教育服務業
幼教老師,教育服務業
才藝∕補習班老師,教育服務業
課後照顧老師,教育服務業
健身房櫃台接待,藝術娛樂及休閒服務業
其他旅遊及運動服務人員,藝術娛樂及休閒服務業
導遊,藝術娛樂及休閒服務業
救生員,藝術娛樂及休閒服務業
旅遊專員,藝術娛樂及休閒服務業
活動帶領員,藝術娛樂及休閒服務業
領隊,藝術娛樂及休閒服務業
不動產經紀人員,不動產業
內勤業務,批發及零售業
售票人員,藝術娛樂及休閒服務業
商品企劃人員,批發及零售業
國內業務,批發及零售業
國內業務主管,批發及零售業
國外業務,批發及零售業
國外業務主管,批發及零售業
專案業務主管,批發及零售業
業務助理,批發及零售業
汽車銷售人員,批發及零售業
補習班老師,教育服務業
通路開發人員,批發及零售業
電話行銷人員,批發及零售業
駐校代表,教育服務業
包裝員,支援服務業
品檢員,製造業
操作工,製造業
機械操作員,製造業
測試員,製造業
產線人員,製造業
組裝員,製造業
代書∕地政士,專業科學及技術服務業
專利工程師,專業科學及技術服務業
專利師,專業科學及技術服務業
工業設計人員,專業科學及技術服務業
律師,專業科學及技術服務業
法務,專業科學及技術服務業
法務主管,專業科學及技術服務業
