年度別,臺北市,新北市,桃園市,臺中市,臺南市,高雄市,金門縣,連江縣,基隆市,宜蘭縣,桃園縣,新竹縣,苗栗縣,南投縣,彰化縣,新竹市,雲林縣,嘉義縣,屏東縣,花蓮縣,臺東縣,澎湖縣
2011,14794,11312,10037,10124,10037,10590,8359,8359,10037,10037,10037,10037,10037,10037,10037,10037,10037,10037,10037,10037,10037,10037
2012,14794,11832,10244,10303,10244,11890,8798,8798,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244
2013,14794,11832,10244,11066,10244,11890,8798,8798,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244
2014,14794,12439,10869,11860,10869,11890,9769,9769,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869
2015,14794,12840,12821,11860,10869,12485,9769,9769,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869,10869
2016,15162,12840,13692,13084,11448,12485,10290,10290,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448
2017,15544,13700,13692,13084,11448,12941,10290,10290,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448,11448
2018,16157,14385,13692,13813,12388,12941,11135,11135,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388
2019,16580,14666,14578,13813,12388,13099,11135,11135,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388
2020,17005,15500,15281,14596,12388,13099,11648,11648,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388,12388
2021,17668,15600,15281,14596,13304,13341,12102,12102,13288,13288,13288,13288,13288,13288,13288,13288,13288,13288,13288,13288,13288,13288
2022,18682,15800,15281,15472,14230,14419,12792,12792,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230
2023,19013,14419,16000,15472,14230,15977,13103,13103,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230
2024,19649,14419,16400,15518,14230,15977,13653,13653,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230,14230
2025,20379,16040,16900,16077,15515,16768,14341,14341,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515
