年度,縣市,就業人口數_千人
2016.0,總計,
2017.0,總計,
2018.0,總計,
2019.0,總計,
2020.0,總計,
2021.0,總計,
2022.0,總計,
2023.0,總計,
2024.0,總計,
,總計,
2016.0,總計,
2017.0,總計,
2018.0,總計,
2019.0,總計,
2020.0,總計,
2021.0,總計,
2022.0,總計,
2023.0,總計,
2024.0,總計,
,總計,
2016.0,總計,
2017.0,總計,
2018.0,總計,
2019.0,總計,
2020.0,總計,
2021.0,總計,
2022.0,總計,
2023.0,總計,
2024.0,總計,
,總計,
2016.0,總計,
2017.0,總計,
2018.0,總計,
2019.0,總計,
2020.0,總計,
2021.0,總計,
2022.0,總計,
2023.0,總計,
2024.0,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
,總計,
2016.0,新北市,1947.0
2017.0,新北市,1961.0
2018.0,新北市,1975.0
2019.0,新北市,1991.0
2020.0,新北市,2002.0
2021.0,新北市,1985.0
2022.0,新北市,1967.0
2023.0,新北市,2001.0
2024.0,新北市,2036.0
,新北市,
2016.0,新北市,35.49
2017.0,新北市,35.28
2018.0,新北市,34.89
2019.0,新北市,34.01
2020.0,新北市,32.2
2021.0,新北市,32.27
2022.0,新北市,32.07
2023.0,新北市,32.0
2024.0,新北市,31.68
,新北市,
2016.0,新北市,63.94
2017.0,新北市,64.03
2018.0,新北市,64.5
2019.0,新北市,65.25
2020.0,新北市,67.19
2021.0,新北市,67.28
2022.0,新北市,67.47
2023.0,新北市,67.44
2024.0,新北市,67.8
,新北市,
2016.0,新北市,0.56
2017.0,新北市,0.69
2018.0,新北市,0.61
2019.0,新北市,0.74
2020.0,新北市,0.61
2021.0,新北市,0.45
2022.0,新北市,0.46
2023.0,新北市,0.56
2024.0,新北市,0.52
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
,新北市,
2016.0,臺北市,1280.0
2017.0,臺北市,1276.0
2018.0,臺北市,1284.0
2019.0,臺北市,1286.0
2020.0,臺北市,1278.0
