年份,職業別,縣市,比例(%)
2018,工業,新北市,34.89
2019,工業,新北市,34.01
2020,工業,新北市,32.2
2021,工業,新北市,32.27
2022,工業,新北市,32.07
2023,工業,新北市,32
2024,工業,新北市,31.68
2018,工業,臺北市,18.81
2019,工業,臺北市,18.25
2020,工業,臺北市,18.63
2021,工業,臺北市,19.14
2022,工業,臺北市,19.1
2023,工業,臺北市,18.27
2024,工業,臺北市,18.28
2018,工業,桃園市,45.23
2019,工業,桃園市,44.23
2020,工業,桃園市,43.22
2021,工業,桃園市,42.8
2022,工業,桃園市,43.12
2023,工業,桃園市,43.36
2024,工業,桃園市,42.18
2018,工業,臺中市,39.48
2019,工業,臺中市,40.77
2020,工業,臺中市,40.63
2021,工業,臺中市,37.77
2022,工業,臺中市,38.05
2023,工業,臺中市,37.78
2024,工業,臺中市,38.86
2018,工業,臺南市,41.17
2019,工業,臺南市,41.58
2020,工業,臺南市,43.1
2021,工業,臺南市,44.36
2022,工業,臺南市,43.64
2023,工業,臺南市,42.76
2024,工業,臺南市,43.04
2018,工業,高雄市,35.8
2019,工業,高雄市,36.47
2020,工業,高雄市,36.98
2021,工業,高雄市,37.45
2022,工業,高雄市,36.4
2023,工業,高雄市,36.72
2024,工業,高雄市,35.99
2018,工業,宜蘭縣,31.52
2019,工業,宜蘭縣,30.81
2020,工業,宜蘭縣,32.51
2021,工業,宜蘭縣,33.72
2022,工業,宜蘭縣,32.24
2023,工業,宜蘭縣,31.64
2024,工業,宜蘭縣,29.37
2018,工業,新竹縣,51.18
2019,工業,新竹縣,49.41
2020,工業,新竹縣,47.41
2021,工業,新竹縣,50.3
2022,工業,新竹縣,53.52
2023,工業,新竹縣,52.27
2024,工業,新竹縣,53.91
2018,工業,苗栗縣,48.43
2019,工業,苗栗縣,46.43
2020,工業,苗栗縣,46.22
2021,工業,苗栗縣,47.65
2022,工業,苗栗縣,47.86
2023,工業,苗栗縣,44.81
2024,工業,苗栗縣,45.82
2018,工業,彰化縣,47.71
2019,工業,彰化縣,47.22
2020,工業,彰化縣,47
2021,工業,彰化縣,45.65
2022,工業,彰化縣,44.36
2023,工業,彰化縣,44.07
2024,工業,彰化縣,44.89
2018,工業,南投縣,29.14
