年度別,縣市,生活所需費用
2018,臺北市,19388
2019,臺北市,19896
2020,臺北市,20406
2021,臺北市,21202
2022,臺北市,22418
2023,臺北市,22816
2018,新北市,17262
2019,新北市,17599
2020,新北市,18600
2021,新北市,18720
2022,新北市,18960
2023,新北市,19200
2018,桃園市,16430
2019,桃園市,17494
2020,桃園市,18337
2021,桃園市,18337
2022,桃園市,18337
2023,桃園市,19172
2018,臺中市,16576
2019,臺中市,16576
2020,臺中市,17515
2021,臺中市,17515
2022,臺中市,18566
2023,臺中市,18566
2018,臺南市,14866
2019,臺南市,14866
2020,臺南市,14866
2021,臺南市,15965
2022,臺南市,17076
2023,臺南市,17076
2018,高雄市,15529
2019,高雄市,15719
2020,高雄市,15719
2021,高雄市,16009
2022,高雄市,17303
2023,高雄市,17303
2018,基隆市,14866
2019,基隆市,14866
2020,基隆市,14866
2021,基隆市,15946
2022,基隆市,17076
2023,基隆市,17076
2018,宜蘭縣,14866
2019,宜蘭縣,14866
2020,宜蘭縣,14866
2021,宜蘭縣,15946
2022,宜蘭縣,17076
2023,宜蘭縣,17076
2018,新竹縣,14866
2019,新竹縣,14866
2020,新竹縣,14866
2021,新竹縣,15946
2022,新竹縣,17076
2023,新竹縣,17076
2018,苗栗縣,14866
2019,苗栗縣,14866
2020,苗栗縣,14866
2021,苗栗縣,15946
2022,苗栗縣,17076
2023,苗栗縣,17076
2018,南投縣,14866
2019,南投縣,14866
2020,南投縣,14866
2021,南投縣,15946
2022,南投縣,17076
2023,南投縣,17076
2018,彰化縣,14866
2019,彰化縣,14866
2020,彰化縣,14866
2021,彰化縣,15946
2022,彰化縣,17076
2023,彰化縣,17076
2018,新竹市,14866
2019,新竹市,14866
2020,新竹市,14866
2021,新竹市,15946
2022,新竹市,17076
2023,新竹市,17076
2018,雲林縣,14866
2019,雲林縣,14866
2020,雲林縣,14866
2021,雲林縣,15946
2022,雲林縣,17076
2023,雲林縣,17076
2018,嘉義縣,14866
2019,嘉義縣,14866
2020,嘉義縣,14866
2021,嘉義縣,15946
2022,嘉義縣,17076
2023,嘉義縣,17076
2018,屏東縣,14866
2019,屏東縣,14866
2020,屏東縣,14866
2021,屏東縣,15946
2022,屏東縣,17076
2023,屏東縣,17076
2018,花蓮縣,14866
2019,花蓮縣,14866
2020,花蓮縣,14866
2021,花蓮縣,15946
2022,花蓮縣,17076
2023,花蓮縣,17076
2018,臺東縣,14866
2019,臺東縣,14866
2020,臺東縣,14866
2021,臺東縣,15946
2022,臺東縣,17076
2023,臺東縣,17076
2018,澎湖縣,14866
2019,澎湖縣,14866
2020,澎湖縣,14866
2021,澎湖縣,15946
2022,澎湖縣,17076
2023,澎湖縣,17076
