職業類別,行業大類,中類,細類,細類名稱
IC佈局工程師,C 製造業,26 電子零組件製造業,2640,積體電路製造業
IC封裝／測試工程師,C 製造業,26 電子零組件製造業,2640,積體電路製造業
IC設計工程師,J 資訊及通訊傳播業,62 資訊服務業,6201,電腦程式設計服務業
PCB-Layout佈局工程師,C 製造業,26 電子零組件製造業,2630,印刷電路板製造業
RF通訊工程師,C 製造業,26 電子零組件製造業,2651,射頻元件製造業
SMT工程師,C 製造業,26 電子零組件製造業,2630,印刷電路板製造業
光學工程師,C 製造業,27 光學及精密器械製造業,2710,光學儀器製造業
光電工程師,C 製造業,27 光學及精密器械製造業,2740,光電元件製造業
光電工程研發主管,C 製造業,27 光學及精密器械製造業,2740,光電元件製造業
光電製程工程師,C 製造業,27 光學及精密器械製造業,2740,光電元件製造業
光電設備工程師,C 製造業,27 光學及精密器械製造業,2740,光電元件製造業
光電／半導體工程助理,C 製造業,26 電子零組件製造業,2640,積體電路製造業
半導體工程師,C 製造業,26 電子零組件製造業,2640,積體電路製造業
半導體工程研發主管,C 製造業,26 電子零組件製造業,2640,積體電路製造業
半導體製程工程師,C 製造業,26 電子零組件製造業,2640,積體電路製造業
半導體設備工程師,C 製造業,26 電子零組件製造業,2640,積體電路製造業
太陽能技術工程師,D 電力及燃氣供應業,35 電力供應業,3510,電力供應業
數位IC設計工程師,J 資訊及通訊傳播業,62 資訊服務業,6201,電腦程式設計服務業
通訊工程研發主管,C 製造業,26 電子零組件製造業,2651,射頻元件製造業
零組件工程師,C 製造業,26 電子零組件製造業,2690,其他電子零組件製造業
電信／通訊系統工程師,J 資訊及通訊傳播業,61 電信業,6100,有線及無線電信業
電子工程主管,C 製造業,26 電子零組件製造業,2690,其他電子零組件製造業
電子工程師,C 製造業,26 電子零組件製造業,2690,其他電子零組件製造業
電子／通訊工程助理,C 製造業,26 電子零組件製造業,2690,其他電子零組件製造業
電源工程師,C 製造業,27 光學及精密器械製造業,2750,電子設備製造業
類比IC設計工程師,J 資訊及通訊傳播業,62 資訊服務業,6201,電腦程式設計服務業
人類學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
其他研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
其他語系教師,P 教育服務業,71 教育服務業,7110,語言教育業
助教,P 教育服務業,71 教育服務業,7100,教育服務業
助理研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
化學相關研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
哲學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
國中教師,P 教育服務業,71 教育服務業,7110,學校教育
國小教師,P 教育服務業,71 教育服務業,7110,學校教育
地質與地球科學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
天文相關研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
學校行政人員,P 教育服務業,71 教育服務業,7110,學校教育
心理學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
應用科學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
政治相關研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
教授／副教授／助理教授,P 教育服務業,71 教育服務業,7110,學校教育
數學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
日語教師,P 教育服務業,71 教育服務業,7110,語言教育業
歷史研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
氣象相關研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
物理相關研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
特殊教育教師,P 教育服務業,71 教育服務業,7110,學校教育
生物學專業與研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
研究助理,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
社會學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
統計學研究人員,P 教育服務業,72 教育支援服務業,7220,研究與實驗發展服務業
臨床／實驗室研究人員,Q 醫療保健及社會工作服務業,86 醫療保健服務業,8690,其他醫療服務業
英語教師,P 教育服務業,71 教育服務業,7110,語言教育業
華語教師,P 教育服務業,71 教育服務業,7110,語言教育業
講師,P 教育服務業,71 教育服務業,7110,學校教育
韓語教師,P 教育服務業,71 教育服務業,7110,語言教育業
高中職教師,P 教育服務業,71 教育服務業,7110,學校教育
作文老師,P 教育服務業,71 教育服務業,7110,補習教育
